key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
redwindtradingassociation_0200_npc_00_00002,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻦ ﺑﻴﻦ ﻛﻞ ﺍﻷﻳﺎﻡ ﺍﻟﻤﻠﻌﻮﻧﺔ، ﻛﺎﻥ ﻻ ﺑﺪ ﺃﻥ ﻳﻜﻮﻥ ﺍﻟﻴﻮﻡ!,ﻣﻦ ﺑﻴﻦ ﻛﻞ ﺍﻷﻳﺎﻡ ﺍﻟﻤﻠﻌﻮﻧﺔ، ﻛﺎﻥ ﻻ ﺑﺪ ﺃﻥ ﻳﻜﻮﻥ ﺍﻟﻴﻮﻡ!,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00003,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﺄﺗﺄﺧﺮ...,ﺳﺄﺗﺄﺧﺮ...,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00004,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻧﺰﻟﺖ ﻣﻦ ﺍﻟﻌﺮﺑﺔ ﻟﻠﺮﺍﺣﺔ ﻟﺤﻈﺔ ﻭﺍﻧﺘﻬﻰ ﺑﻲ ﺍﻷﻣﺮ ﺑﺎﻟﺘﻮﺍﺀ ﻛﺎﺣﻠﻲ.,ﻧﺰﻟﺖ ﻣﻦ ﺍﻟﻌﺮﺑﺔ ﻟﻠﺮﺍﺣﺔ ﻟﺤﻈﺔ ﻭﺍﻧﺘﻬﻰ ﺑﻲ ﺍﻷﻣﺮ ﺑﺎﻟﺘﻮﺍﺀ ﻛﺎﺣﻠﻲ.,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00005,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺩﻧﻰ ﺣﺮﻛﺔ ﺗﺮﺳﻞ ﺃﻟﻤﺎ ﺣﺎﺩﺍ ﻓﻲ ﺳﺎﻗﻲ.,ﺃﺩﻧﻰ ﺣﺮﻛﺔ ﺗﺮﺳﻞ ﺃﻟﻤﺎ ﺣﺎﺩﺍ ﻓﻲ ﺳﺎﻗﻲ.,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00006,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﻳﻤﻜﻨﻨﻲ ﺗﻮﻟﻲ ﺍﻟﻘﻴﺎﺩﺓ ﺑﻬﺬﻩ ﺍﻟﺤﺎﻟﺔ، ﻟﺬﺍ ﻋﻠﻘﺖ ﻫﻨﺎ.,ﻻ ﻳﻤﻜﻨﻨﻲ ﺗﻮﻟﻲ ﺍﻟﻘﻴﺎﺩﺓ ﺑﻬﺬﻩ ﺍﻟﺤﺎﻟﺔ، ﻟﺬﺍ ﻋﻠﻘﺖ ﻫﻨﺎ.,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00007,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻋﻨﺪﻱ ﺻﻔﻘﺔ ﺗﺠﺎﺭﻳﺔ ﻣﻬﻤﺔ ﺍﻟﻴﻮﻡ، ﻟﺬﺍ ﻫﺬﺍ ﺍﻟﻮﺿﻊ ﻛﺎﺭﺛﻲ.,ﻋﻨﺪﻱ ﺻﻔﻘﺔ ﺗﺠﺎﺭﻳﺔ ﻣﻬﻤﺔ ﺍﻟﻴﻮﻡ، ﻟﺬﺍ ﻫﺬﺍ ﺍﻟﻮﺿﻊ ﻛﺎﺭﺛﻲ.,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00008,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺗﻌﺮﻑ ﻛﻴﻒ ﺗﻘﻮﺩ ﻋﺮﺑﺔ؟,ﺃﺗﻌﺮﻑ ﻛﻴﻒ ﺗﻘﻮﺩ ﻋﺮﺑﺔ؟,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00009,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﺗﺄﺧﺬ ﺍﻟﺰﻣﺎﻡ ﻭﺗﻮﺻﻠﻨﻲ ﺇﻟﻰ ﻣﺮﻛﺰ ﺍﻟﺘﺠﺎﺭﺓ؟,ﻫﻞ ﺗﺄﺧﺬ ﺍﻟﺰﻣﺎﻡ ﻭﺗﻮﺻﻠﻨﻲ ﺇﻟﻰ ﻣﺮﻛﺰ ﺍﻟﺘﺠﺎﺭﺓ؟,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0200_npc_00_00010,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0200,Redwindtradingassociation 0200,redwindtradingassociation_0200,0200,redwindtradingassociation_0200_npc_00,0200_npc_00,0200,0200,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺭﺟﻮﻙ، ﻫﺬﻩ ﺍﻟﺼﻔﻘﺔ ﻣﻬﻤﺔ ﺟﺪﺍ ﻟﻨﺨﺴﺮﻫﺎ.,ﺃﺭﺟﻮﻙ، ﻫﺬﻩ ﺍﻟﺼﻔﻘﺔ ﻣﻬﻤﺔ ﺟﺪﺍ ﻟﻨﺨﺴﺮﻫﺎ.,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0300_npc_00_00001,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0300,Redwindtradingassociation 0300,redwindtradingassociation_0300,0300,redwindtradingassociation_0300_npc_00,0300_npc_00,0300,0300,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻭﺻﻠﺘﻨﺎ ﻋﺒﺮ ﺍﻟﺼﺤﺮﺍﺀ ﺳﺎﻟﻤﻴﻦ!,ﺃﻭﺻﻠﺘﻨﺎ ﻋﺒﺮ ﺍﻟﺼﺤﺮﺍﺀ ﺳﺎﻟﻤﻴﻦ!,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0300_npc_00_00002,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0300,Redwindtradingassociation 0300,redwindtradingassociation_0300,0300,redwindtradingassociation_0300_npc_00,0300_npc_00,0300,0300,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻮﻻ ﺗﺠﺎﺭﺓ ﺍﻟﻴﻮﻡ، ﻟﻜﻨﺖ ﺗﻜﺒﺪﺕ ﺧﺴﺎﺭﺓ ﻓﺎﺩﺣﺔ.,ﻟﻮﻻ ﺗﺠﺎﺭﺓ ﺍﻟﻴﻮﻡ، ﻟﻜﻨﺖ ﺗﻜﺒﺪﺕ ﺧﺴﺎﺭﺓ ﻓﺎﺩﺣﺔ.,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0300_npc_00_00003,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0300,Redwindtradingassociation 0300,redwindtradingassociation_0300,0300,redwindtradingassociation_0300_npc_00,0300_npc_00,0300,0300,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﺼﺤﺮﺍﺀ ﺗﺼﺒﺢ ﺧﻄﻴﺮﺓ ﻟﺤﻈﺔ ﺗﺘﺮﺍﺧﻰ...,ﺍﻟﺼﺤﺮﺍﺀ ﺗﺼﺒﺢ ﺧﻄﻴﺮﺓ ﻟﺤﻈﺔ ﺗﺘﺮﺍﺧﻰ...,gamedata/localizationstring_eng.paloc
redwindtradingassociation_0300_npc_00_00004,redwindtradingassociation,Redwindtradingassociation,Scene Dialogue,Redwindtradingassociation,Redwindtradingassociation,0300,Redwindtradingassociation 0300,redwindtradingassociation_0300,0300,redwindtradingassociation_0300_npc_00,0300_npc_00,0300,0300,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﺤﺮﺍﺭﺓ ﺳﻴﺌﺔ ﺑﻤﺎ ﻳﻜﻔﻲ، ﻟﻜﻦ ﻗﻄﺎﻉ ﺍﻟﻄﺮﻕ ﻫﻢ ﻣﻦ ﻳﺠﺐ ﺃﻥ ﺗﺤﺬﺭﻫﻢ ﺣﻘﺎ.,ﺍﻟﺤﺮﺍﺭﺓ ﺳﻴﺌﺔ ﺑﻤﺎ ﻳﻜﻔﻲ، ﻟﻜﻦ ﻗﻄﺎﻉ ﺍﻟﻄﺮﻕ ﻫﻢ ﻣﻦ ﻳﺠﺐ ﺃﻥ ﺗﺤﺬﺭﻫﻢ ﺣﻘﺎ.,gamedata/localizationstring_eng.paloc
