key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
reeddevil_boss_2400_npc_00_00001,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻢ... ﻳﺠﺐ ﺃﻥ ﻳﻜﻮﻥ ﻫﻨﺎ ﻓﻲ ﻣﻜﺎﻥ ﻣﺎ.,ﻫﻢ... ﻳﺠﺐ ﺃﻥ ﻳﻜﻮﻥ ﻫﻨﺎ ﻓﻲ ﻣﻜﺎﻥ ﻣﺎ.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00002,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﻛﺎﻧﺖ ﺍﻟﻤﻌﻠﻮﻣﺎﺕ ﺧﺎﻃﺌﺔ؟,ﻫﻞ ﻛﺎﻧﺖ ﺍﻟﻤﻌﻠﻮﻣﺎﺕ ﺧﺎﻃﺌﺔ؟,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00003,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﺠﺐ ﺃﻥ ﻳﻜﻮﻥ ﻗﺮﻳﺒﺎ.,ﻳﺠﺐ ﺃﻥ ﻳﻜﻮﻥ ﻗﺮﻳﺒﺎ.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00004,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺣﺴﻨﺎ، ﺃﻇﻦ ﻋﻠﻲ ﺍﻻﻧﺘﻈﺎﺭ.,ﺣﺴﻨﺎ، ﺃﻇﻦ ﻋﻠﻲ ﺍﻻﻧﺘﻈﺎﺭ.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00005,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﻏﺎﺩﺭ ﺑﺎﻟﻔﻌﻞ؟,ﻫﻞ ﻏﺎﺩﺭ ﺑﺎﻟﻔﻌﻞ؟,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00006,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﺪﻱ ﺷﻲﺀ ﺃﻋﻄﻴﻪ ﺇﻳﺎﻩ.,ﻟﺪﻱ ﺷﻲﺀ ﺃﻋﻄﻴﻪ ﺇﻳﺎﻩ.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00007,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻏﺮﺍﻳﻤﺎﻧﺰ، ﻣﺮﺭﺕ ﺑﺼﻌﻮﺑﺎﺕ ﻛﺒﻴﺮﺓ ﻹﻳﺠﺎﺩﻙ.,ﻏﺮﺍﻳﻤﺎﻧﺰ، ﻣﺮﺭﺕ ﺑﺼﻌﻮﺑﺎﺕ ﻛﺒﻴﺮﺓ ﻹﻳﺠﺎﺩﻙ.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00008,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻘﺪ ﻃﺮﺩﺕ ﺷﻴﻄﺎﻥ ﺣﻘﻞ ﺍﻟﻘﺼﺐ ﺍﻟﻤﺮﻭﻉ،,ﻟﻘﺪ ﻃﺮﺩﺕ ﺷﻴﻄﺎﻥ ﺣﻘﻞ ﺍﻟﻘﺼﺐ ﺍﻟﻤﺮﻭﻉ،,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00009,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﺘﺄﻣﻴﻦ ﺍﻟﻄﺮﻳﻖ ﻟﺘﺠﺎﺭﻧﺎ.,ﻟﺘﺄﻣﻴﻦ ﺍﻟﻄﺮﻳﻖ ﻟﺘﺠﺎﺭﻧﺎ.,gamedata/localizationstring_eng.paloc
reeddevil_boss_2400_npc_00_00010,reeddevil,Reeddevil,Scene Dialogue,Reeddevil,Reeddevil,2400,Reeddevil 2400,reeddevil_boss_2400,boss_2400,reeddevil_boss_2400_npc_00,boss_2400_npc_00,boss_2400,boss,2400,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺑﻌﺪ ﻭﻓﺎﺓ ﺍﻟﻜﻮﻧﺖ، ﻏﻤﺮﺕ ﻣﻤﺘﻠﻜﺎﺗﻪ ﺍﻟﺴﻮﻕ.,ﺑﻌﺪ ﻭﻓﺎﺓ ﺍﻟﻜﻮﻧﺖ، ﻏﻤﺮﺕ ﻣﻤﺘﻠﻜﺎﺗﻪ ﺍﻟﺴﻮﻕ.,gamedata/localizationstring_eng.paloc
