key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
samuel_9000_boss_00_00003,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺟﺜﺔ ﺃﺧﺮﻯ...,ﺟﺜﺔ ﺃﺧﺮﻯ...,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00004,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00005,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻼﺳﺘﻠﻘﺎﺀ ﻋﻠﻰ ﺍﻟﺮﻣﺎﻝ.,ﻟﻼﺳﺘﻠﻘﺎﺀ ﻋﻠﻰ ﺍﻟﺮﻣﺎﻝ.,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00007,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00008,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00009,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺩﺧﻞ ﺭﻣﻞ ﻓﻲ ﻋﻴﻨﻲ!,ﺩﺧﻞ ﺭﻣﻞ ﻓﻲ ﻋﻴﻨﻲ!,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00010,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00011,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻻ ﻣﻜﺎﻥ ﻳﻤﻜﻨﻚ ﺍﻻﺧﺘﺒﺎﺀ ﻓﻴﻪ.,ﻻ ﻣﻜﺎﻥ ﻳﻤﻜﻨﻚ ﺍﻻﺧﺘﺒﺎﺀ ﻓﻴﻪ.,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00012,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻗﺪ ﺗﻌﻮﻱ ﺍﻟﺮﻳﺎﺡ، ﻟﻜﻦ ﻃﻠﻘﺘﻲ ﺗﺼﻴﺐ ﻫﺪﻓﻬﺎ.,ﻗﺪ ﺗﻌﻮﻱ ﺍﻟﺮﻳﺎﺡ، ﻟﻜﻦ ﻃﻠﻘﺘﻲ ﺗﺼﻴﺐ ﻫﺪﻓﻬﺎ.,gamedata/localizationstring_eng.paloc
samuel_9000_boss_00_00013,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_boss_00,9000_boss_00,9000,9000,,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺘﻠﻘﻰ ﺣﺘﻔﻚ ﻋﻠﻰ ﺃﻧﻐﺎﻡ ﻃﻠﻘﺘﻲ.,ﺳﺘﻠﻘﻰ ﺣﺘﻔﻚ ﻋﻠﻰ ﺃﻧﻐﺎﻡ ﻃﻠﻘﺘﻲ.,gamedata/localizationstring_eng.paloc
samuel_9000_globalgametrack_00014,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_globalgametrack,9000_globalgametrack,9000,9000,,14,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺃﻧﺖ ﺑﺎﻟﻔﻌﻞ ﻓﻲ ﻣﺮﻣﻰ ﺑﺼﺮﻱ.,ﺃﻧﺖ ﺑﺎﻟﻔﻌﻞ ﻓﻲ ﻣﺮﻣﻰ ﺑﺼﺮﻱ.,gamedata/localizationstring_eng.paloc
samuel_9000_globalgametrack_00015,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_globalgametrack,9000_globalgametrack,9000,9000,,15,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺍﻟﺮﻣﺎﻝ ﺳﺘﺒﺘﻠﻊ ﺣﺘﻰ ﻇﻠﻚ.,ﺍﻟﺮﻣﺎﻝ ﺳﺘﺒﺘﻠﻊ ﺣﺘﻰ ﻇﻠﻚ.,gamedata/localizationstring_eng.paloc
samuel_9000_globalgametrack_00016,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_globalgametrack,9000_globalgametrack,9000,9000,,16,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺗﺨﻞ ﻋﻦ ﻛﻞ ﺃﻣﻞ.,ﺗﺨﻞ ﻋﻦ ﻛﻞ ﺃﻣﻞ.,gamedata/localizationstring_eng.paloc
samuel_9000_narration_00006,samuel,Samuel,Scene Dialogue,Samuel,Samuel,9000,Samuel 9000,samuel_9000,9000,samuel_9000_narration,9000_narration,9000,9000,,6,narration,,narration,Narration,Narration,Narration,,role,,ﺗﻬﺮﺏ ﺑﻤﻬﺎﺭﺓ ﺗﻜﺎﺩ ﺗﻀﺎﻫﻲ ﺩﻗﺔ ﺗﺼﻮﻳﺒﻲ...,ﺗﻬﺮﺏ ﺑﻤﻬﺎﺭﺓ ﺗﻜﺎﺩ ﺗﻀﺎﻫﻲ ﺩﻗﺔ ﺗﺼﻮﻳﺒﻲ...,gamedata/localizationstring_eng.paloc
