key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
senia_village_9000_boss_00_00001,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻳﺎ ﺳﻼﻡ.,ﻳﺎ ﺳﻼﻡ.,gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00002,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻧﻈﺮﻭﺍ ﻣﻦ ﺗﺴﻠﻞ ﺇﻟﻰ ﻫﻨﺎ.,ﺍﻧﻈﺮﻭﺍ ﻣﻦ ﺗﺴﻠﻞ ﺇﻟﻰ ﻫﻨﺎ.,gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00003,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻳﻬﺎ ﺍﻟﻜﻠﺐ... ﺍﻟﻘﺬﺭ... ﺍﻟﻠﻌﻴﻦ.,ﺃﻳﻬﺎ ﺍﻟﻜﻠﺐ... ﺍﻟﻘﺬﺭ... ﺍﻟﻠﻌﻴﻦ.,gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00004,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻭﻏﺎﺩ ﺳﻴﻨﻴﺎ ﺍﻟﻤﻘﺪﺳﻮﻥ ﺃﺭﺳﻠﻮﻙ؟,ﺃﻭﻏﺎﺩ ﺳﻴﻨﻴﺎ ﺍﻟﻤﻘﺪﺳﻮﻥ ﺃﺭﺳﻠﻮﻙ؟,gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00005,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺮﻳﻌﻮﻥ ﻓﻲ ﺇﺭﺳﺎﻝ ﺍﻵﺧﺮﻳﻦ ﺇﻟﻰ ﺣﺘﻔﻬﻢ ﺑﻴﻨﻤﺎ ﻳﺨﺘﺒﺌﻮﻥ ﻭﺭﺍﺀ ﻣﺬﺑﺤﻬﻢ.,ﺳﺮﻳﻌﻮﻥ ﻓﻲ ﺇﺭﺳﺎﻝ ﺍﻵﺧﺮﻳﻦ ﺇﻟﻰ ﺣﺘﻔﻬﻢ ﺑﻴﻨﻤﺎ ﻳﺨﺘﺒﺌﻮﻥ ﻭﺭﺍﺀ ﻣﺬﺑﺤﻬﻢ.,gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00006,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"""ﺳﻮﻟﻮﻣﻴﻦ، ﺃﻧﻘﺬﻧﺎ!"" ﻫﺎﻩ!","""ﺳﻮﻟﻮﻣﻴﻦ، ﺃﻧﻘﺬﻧﺎ!"" ﻫﺎﻩ!",gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00007,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺘﻜﻮﻥ ﻭﺟﺒﺔ ﺷﻬﻴﺔ.,ﺳﺘﻜﻮﻥ ﻭﺟﺒﺔ ﺷﻬﻴﺔ.,gamedata/localizationstring_eng.paloc
senia_village_9000_boss_00_00008,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_boss_00,village_9000_boss_00,village_9000,village,9000,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﺷﺮﺣﻚ ﻭﺃﻃﻌﻤﻚ ﻟﻜﻼﺑﻲ!,ﺳﺄﺷﺮﺣﻚ ﻭﺃﻃﻌﻤﻚ ﻟﻜﻼﺑﻲ!,gamedata/localizationstring_eng.paloc
senia_village_9000_globalgametrack_00009,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_globalgametrack,village_9000_globalgametrack,village_9000,village,9000,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻫﻞ ﺃﻧﺖ ﺧﺎﺋﻒ؟,ﻫﻞ ﺃﻧﺖ ﺧﺎﺋﻒ؟,gamedata/localizationstring_eng.paloc
senia_village_9000_globalgametrack_00010,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_globalgametrack,village_9000_globalgametrack,village_9000,village,9000,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻻ ﻓﺮﺻﺔ ﻟﻚ.,ﻻ ﻓﺮﺻﺔ ﻟﻚ.,gamedata/localizationstring_eng.paloc
senia_village_9000_narration_00000,senia,Senia,Scene Dialogue,Senia,Senia,9000,Senia 9000,senia_village_9000,village_9000,senia_village_9000_narration,village_9000_narration,village_9000,village,9000,0,narration,,narration,Narration,Narration,Narration,,role,,ﻳﺒﺪﻭ ﺃﻥ ﺳﻮﻟﻮﻣﻴﻦ ﻓﻲ ﺻﻔﻲ ﺍﻟﻴﻮﻡ!,ﻳﺒﺪﻭ ﺃﻥ ﺳﻮﻟﻮﻣﻴﻦ ﻓﻲ ﺻﻔﻲ ﺍﻟﻴﻮﻡ!,gamedata/localizationstring_eng.paloc
