key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
shipgrave_sea_0800_npc_00_00000,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺧﻴﺮﺍ. ﺭﻭﺡ ﺣﻜﻴﻤﺔ ﺗﻔﺘﺢ ﺍﻟﻤﺮﻭﺣﺔ.,ﺃﺧﻴﺮﺍ. ﺭﻭﺡ ﺣﻜﻴﻤﺔ ﺗﻔﺘﺢ ﺍﻟﻤﺮﻭﺣﺔ.,gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00001,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺬﺍ ﻛﻞ ﻣﺎ ﺍﺳﺘﻄﻌﺖ ﺗﺮﻛﻪ ﻧﻈﺮﺍ ﻟﺤﺎﻟﺘﻲ ﺍﻟﺨﻄﻴﺮﺓ.,ﻫﺬﺍ ﻛﻞ ﻣﺎ ﺍﺳﺘﻄﻌﺖ ﺗﺮﻛﻪ ﻧﻈﺮﺍ ﻟﺤﺎﻟﺘﻲ ﺍﻟﺨﻄﻴﺮﺓ.,gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00002,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Witch_Megu:ﻣﺎﻳﻐﻮ,ﺍﺳﻤﻲ {Staticinfo:Knowledge:Knowledge_Witch_Megu#ﻣﺎﻳﻐﻮ}، ﺳﺎﺣﺮﺓ ﻣﻦ ﻓﻨﻮﻥ ﺍﻟﺪﻭ ﻣﻦ ﺍﻟﺸﺮﻕ.,ﺍﺳﻤﻲ {Staticinfo:Knowledge:Knowledge_Witch_Megu#ﻣﺎﻳﻐﻮ}، ﺳﺎﺣﺮﺓ ﻣﻦ ﻓﻨﻮﻥ ﺍﻟﺪﻭ ﻣﻦ ﺍﻟﺸﺮﻕ.,gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00003,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻓﻲ ﻃﺮﻳﻘﻨﺎ ﺇﻟﻰ ﻫﻨﺎ، ﺃﺻﺎﺑﺖ ﻧﻴﺮﺍﻥ ﺍﻟﻤﺪﺍﻓﻊ ﺳﻔﻴﻨﺘﻨﺎ، ﻣﻤﺎ ﺃﺟﺒﺮﻧﺎ ﻋﻠﻰ ﺍﻟﺮﺳﻮ.,ﻓﻲ ﻃﺮﻳﻘﻨﺎ ﺇﻟﻰ ﻫﻨﺎ، ﺃﺻﺎﺑﺖ ﻧﻴﺮﺍﻥ ﺍﻟﻤﺪﺍﻓﻊ ﺳﻔﻴﻨﺘﻨﺎ، ﻣﻤﺎ ﺃﺟﺒﺮﻧﺎ ﻋﻠﻰ ﺍﻟﺮﺳﻮ.,gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00004,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺛﻢ... ﺷﺨﺺ ﻣﺎ ﺃﺧﺬ ﺃﺧﺘﻲ.,ﺛﻢ... ﺷﺨﺺ ﻣﺎ ﺃﺧﺬ ﺃﺧﺘﻲ.,gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00005,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻞ ﻣﺎ ﺃﺭﻳﺪﻩ ﻫﻮ ﺍﻟﺒﺤﺚ ﻋﻨﻬﺎ...,ﻛﻞ ﻣﺎ ﺃﺭﻳﺪﻩ ﻫﻮ ﺍﻟﺒﺤﺚ ﻋﻨﻬﺎ...,gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00006,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻜﻦ ﺟﺮﺍﺣﻲ ﺃﺿﻌﻔﺘﻨﻲ ﻛﺜﻴﺮﺍ ﻻﺳﺘﺨﺪﺍﻡ ﻗﻮﺍﻱ.,ﻟﻜﻦ ﺟﺮﺍﺣﻲ ﺃﺿﻌﻔﺘﻨﻲ ﻛﺜﻴﺮﺍ ﻻﺳﺘﺨﺪﺍﻡ ﻗﻮﺍﻱ.,gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00007,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺣﺮﻕ ﺗﻌﻮﻳﺬﺓ ﻓﻮﻕ ﺍﻟﻤﺒﺨﺮﺓ ﻭﺩﻕ ﺍﻷﺟﺮﺍﺱ، ﻋﻨﺪﻫﺎ ﺳﻴﺮﺷﺪﻙ ﺍﻟﺮﻳﺢ ﺇﻟﻴﻬﺎ.,ﺃﺣﺮﻕ ﺗﻌﻮﻳﺬﺓ ﻓﻮﻕ ﺍﻟﻤﺒﺨﺮﺓ ﻭﺩﻕ ﺍﻷﺟﺮﺍﺱ، ﻋﻨﺪﻫﺎ ﺳﻴﺮﺷﺪﻙ ﺍﻟﺮﻳﺢ ﺇﻟﻴﻬﺎ.,gamedata/localizationstring_eng.paloc
shipgrave_sea_0800_npc_00_00008,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,0800,Shipgrave 0800,shipgrave_sea_0800,sea_0800,shipgrave_sea_0800_npc_00,sea_0800_npc_00,sea_0800,sea,0800,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﺘﺠﺪ ﻣﺎ ﺗﺤﺘﺎﺟﻪ ﻋﻠﻰ ﺍﻟﺸﺎﻃﺊ، ﺑﺠﺎﻧﺐ ﺳﻔﻴﻨﺘﻨﺎ.,ﺳﺘﺠﺪ ﻣﺎ ﺗﺤﺘﺎﺟﻪ ﻋﻠﻰ ﺍﻟﺸﺎﻃﺊ، ﺑﺠﺎﻧﺐ ﺳﻔﻴﻨﺘﻨﺎ.,gamedata/localizationstring_eng.paloc
shipgrave_sea_1000_02_npc_00002,shipgrave,Shipgrave,Scene Dialogue,Shipgrave,Shipgrave,1000,Shipgrave 1000,shipgrave_sea_1000_02,sea_1000_02,shipgrave_sea_1000_02_npc,sea_1000_02_npc,sea_1000_02,sea,1000_02,2,npc,,npc,NPC,NPC,NPC,,role,,ﺃﺟﻞ. ﺳﻘﻄﺖ ﺻﺨﺮﺓ ﻣﻦ ﺍﻟﺴﻤﺎﺀ ﻭﺣﻄﻤﺘﻪ ﺗﻤﺎﻣﺎ.,ﺃﺟﻞ. ﺳﻘﻄﺖ ﺻﺨﺮﺓ ﻣﻦ ﺍﻟﺴﻤﺎﺀ ﻭﺣﻄﻤﺘﻪ ﺗﻤﺎﻣﺎ.,gamedata/localizationstring_eng.paloc
