key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
silenthulkingkoo_9000_boss_00_00001,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_boss_00,9000_boss_00,9000,9000,,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﺪﻳﻚ ﺑﻌﺾ ﺍﻟﺠﺮﺃﺓ ﻟﺘﻄﺄ ﺃﺭﺿﻲ.,ﻟﺪﻳﻚ ﺑﻌﺾ ﺍﻟﺠﺮﺃﺓ ﻟﺘﻄﺄ ﺃﺭﺿﻲ.,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_boss_00_00002,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺖ.,ﻣﺖ.,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_boss_00_00003,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_boss_00_00004,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻳﻬﺎ ﺍﻝ... ﺣﺸﺮﺓ ﻋﺪﻳﻤﺔ ﺍﻟﻘﻴﻤﺔ...,ﺃﻳﻬﺎ ﺍﻝ... ﺣﺸﺮﺓ ﻋﺪﻳﻤﺔ ﺍﻟﻘﻴﻤﺔ...,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_boss_00_00005,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻧﺖ... ﺗﺠﺮﺅ...,ﺃﻧﺖ... ﺗﺠﺮﺅ...,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_boss_00_00006,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_globalgametrack_00007,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_globalgametrack,9000_globalgametrack,9000,9000,,7,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻳﺮﺗﺠﻒ ﺍﻟﺠﻤﻴﻊ ﻭﻳﺘﻔﺮﻗﻮﻥ ﺣﻴﻦ ﻳﻘﺮﻉ ﺟﺮﺳﻲ!,ﻳﺮﺗﺠﻒ ﺍﻟﺠﻤﻴﻊ ﻭﻳﺘﻔﺮﻗﻮﻥ ﺣﻴﻦ ﻳﻘﺮﻉ ﺟﺮﺳﻲ!,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_globalgametrack_00008,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_globalgametrack,9000_globalgametrack,9000,9000,,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻟﻴﻘﻮﺩﻙ ﺭﻧﻴﻨﻪ ﻣﺒﺎﺷﺮﺓ ﺇﻟﻰ ﻗﺒﺮﻙ.,ﻟﻴﻘﻮﺩﻙ ﺭﻧﻴﻨﻪ ﻣﺒﺎﺷﺮﺓ ﺇﻟﻰ ﻗﺒﺮﻙ.,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_globalgametrack_00009,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_globalgametrack,9000_globalgametrack,9000,9000,,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻣﺜﻴﺮ ﻟﻠﺸﻔﻘﺔ!,ﻣﺜﻴﺮ ﻟﻠﺸﻔﻘﺔ!,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_globalgametrack_00010,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_globalgametrack,9000_globalgametrack,9000,9000,,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻻ ﺃﺣﺪ ﻳﺴﻤﻊ ﻫﺬﻩ ﺍﻷﺟﺮﺍﺱ ﻭﻳﺨﺮﺝ ﺣﻴﺎ.,ﻻ ﺃﺣﺪ ﻳﺴﻤﻊ ﻫﺬﻩ ﺍﻷﺟﺮﺍﺱ ﻭﻳﺨﺮﺝ ﺣﻴﺎ.,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_globalgametrack_00011,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_globalgametrack,9000_globalgametrack,9000,9000,,11,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺍﺳﺘﻤﺘﻊ ﺑﻤﻌﺮﻛﺘﻚ ﺍﻷﺧﻴﺮﺓ!,ﺍﺳﺘﻤﺘﻊ ﺑﻤﻌﺮﻛﺘﻚ ﺍﻷﺧﻴﺮﺓ!,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_globalgametrack_00012,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_globalgametrack,9000_globalgametrack,9000,9000,,12,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻣﻦ ﺍﻷﻓﻀﻞ ﺃﻥ ﺗﺴﺘﺴﻠﻢ ﺍﻵﻥ!,ﻣﻦ ﺍﻷﻓﻀﻞ ﺃﻥ ﺗﺴﺘﺴﻠﻢ ﺍﻵﻥ!,gamedata/localizationstring_eng.paloc
silenthulkingkoo_9000_narration_00000,silenthulkingkoo,Silenthulkingkoo,Scene Dialogue,Silenthulkingkoo,Silenthulkingkoo,9000,Silenthulkingkoo 9000,silenthulkingkoo_9000,9000,silenthulkingkoo_9000_narration,9000_narration,9000,9000,,0,narration,,narration,Narration,Narration,Narration,,role,,ﺃﻫﺬﺍ ﻛﻞ ﻣﺎ ﺗﺠﻴﺪﻩ، ﺍﻟﻬﺮﺏ؟,ﺃﻫﺬﺍ ﻛﻞ ﻣﺎ ﺗﺠﻴﺪﻩ، ﺍﻟﻬﺮﺏ؟,gamedata/localizationstring_eng.paloc
