key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
silverwolf_mountain_2900_npc_00_00006,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_00,mountain_2900_npc_00,mountain_2900,mountain,2900,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻭﻧﻐﻜﺎ. ﺟﻤﻌﻨﺎ ﺑﻌﺾ ﺍﻷﺩﻟﺔ.,ﺃﻭﻧﻐﻜﺎ. ﺟﻤﻌﻨﺎ ﺑﻌﺾ ﺍﻷﺩﻟﺔ.,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_00_00008,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_00,mountain_2900_npc_00,mountain_2900,mountain,2900,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﻘﻮﻝ ﺍﻟﻨﺎﺱ ﺇﻧﻬﻢ ﺭﺻﺪﻭﺍ ﻋﺼﺎﺑﺔ ﺍﻟﺬﺋﺎﺏ ﺗﺘﺠﻮﻝ ﻓﻲ ﺍﻟﻤﻨﻄﻘﺔ.,ﻳﻘﻮﻝ ﺍﻟﻨﺎﺱ ﺇﻧﻬﻢ ﺭﺻﺪﻭﺍ ﻋﺼﺎﺑﺔ ﺍﻟﺬﺋﺎﺏ ﺗﺘﺠﻮﻝ ﻓﻲ ﺍﻟﻤﻨﻄﻘﺔ.,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_00_00009,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_00,mountain_2900_npc_00,mountain_2900,mountain,2900,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_00_00025,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_00,mountain_2900_npc_00,mountain_2900,mountain,2900,25,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻦ ﺍﻟﻤﺮﺟﺢ ﺃﻧﻬﻢ ﻣﺘﺤﺼﻨﻮﻥ ﻓﻲ ﻣﻜﺎﻥ ﻗﺮﻳﺐ.,ﻣﻦ ﺍﻟﻤﺮﺟﺢ ﺃﻧﻬﻢ ﻣﺘﺤﺼﻨﻮﻥ ﻓﻲ ﻣﻜﺎﻥ ﻗﺮﻳﺐ.,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_01_00013,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_01,mountain_2900_npc_01,mountain_2900,mountain,2900,13,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,,,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_01_00014,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_01,mountain_2900_npc_01,mountain_2900,mountain,2900,14,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻟﻜﻦ ﺍﻟﺸﻲﺀ ﺍﻟﻐﺮﻳﺐ ﻫﻮ...,ﻟﻜﻦ ﺍﻟﺸﻲﺀ ﺍﻟﻐﺮﻳﺐ ﻫﻮ...,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_01_00015,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_01,mountain_2900_npc_01,mountain_2900,mountain,2900,15,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻻ ﻳﻮﺟﺪ ﺩﺏ ﺃﺳﻮﺩ ﻭﺍﺣﺪ.,ﻻ ﻳﻮﺟﺪ ﺩﺏ ﺃﺳﻮﺩ ﻭﺍﺣﺪ.,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_01_00016,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_01,mountain_2900_npc_01,mountain_2900,mountain,2900,16,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻳﺒﺪﻭ ﻟﻲ ﺃﻧﻬﻢ ﺗﻮﻗﻔﻮﺍ ﻋﻦ ﺍﻟﻌﻤﻞ ﻣﻌﺎ.,ﻳﺒﺪﻭ ﻟﻲ ﺃﻧﻬﻢ ﺗﻮﻗﻔﻮﺍ ﻋﻦ ﺍﻟﻌﻤﻞ ﻣﻌﺎ.,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_01_00017,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_01,mountain_2900_npc_01,mountain_2900,mountain,2900,17,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻫﺬﺍ ﻣﻨﻄﻘﻲ، ﻣﺎ ﺩﺍﻡ ﺃﻥ ﺑﻨﺎﺕ ﺁﻭﻯ ﻭﺣﺪﻫﻢ ﻫﻢ ﻣﻦ ﺗﺒﻘﻮﺍ ﻓﻲ ﺍﻟﻤﻨﻄﻘﺔ.,ﻫﺬﺍ ﻣﻨﻄﻘﻲ، ﻣﺎ ﺩﺍﻡ ﺃﻥ ﺑﻨﺎﺕ ﺁﻭﻯ ﻭﺣﺪﻫﻢ ﻫﻢ ﻣﻦ ﺗﺒﻘﻮﺍ ﻓﻲ ﺍﻟﻤﻨﻄﻘﺔ.,gamedata/localizationstring_eng.paloc
silverwolf_mountain_2900_npc_01_00018,silverwolf,Silverwolf,Scene Dialogue,Silverwolf,Silverwolf,2900,Silverwolf 2900,silverwolf_mountain_2900,mountain_2900,silverwolf_mountain_2900_npc_01,mountain_2900_npc_01,mountain_2900,mountain,2900,18,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺣﺴﻨﺎ، ﺇﻥ ﻛﺎﻧﻮﺍ ﻗﺪ ﺗﻔﺮﻗﻮﺍ ﻓﻌﻼ، ﻓﻬﺬﺍ ﺃﻓﻀﻞ ﻟﻨﺎ. ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,ﺣﺴﻨﺎ، ﺇﻥ ﻛﺎﻧﻮﺍ ﻗﺪ ﺗﻔﺮﻗﻮﺍ ﻓﻌﻼ، ﻓﻬﺬﺍ ﺃﻓﻀﻞ ﻟﻨﺎ. ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,gamedata/localizationstring_eng.paloc
