key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
storm_cliff_0110_npc_00000,storm,Storm,Scene Dialogue,Storm,Storm,0110,Storm 0110,storm_cliff_0110,cliff_0110,storm_cliff_0110_npc,cliff_0110_npc,cliff_0110,cliff,0110,0,npc,,npc,NPC,NPC,NPC,,role,,ﻣﺎﺫﺍ؟ ﻳﺎ ﻟﻠﻬﻮﻝ.,ﻣﺎﺫﺍ؟ ﻳﺎ ﻟﻠﻬﻮﻝ.,gamedata/localizationstring_eng.paloc
storm_cliff_0110_npc_00001,storm,Storm,Scene Dialogue,Storm,Storm,0110,Storm 0110,storm_cliff_0110,cliff_0110,storm_cliff_0110_npc,cliff_0110_npc,cliff_0110,cliff,0110,1,npc,,npc,NPC,NPC,NPC,,role,,ﺗﻈﻦ ﺃﻧﻨﺎ ﻧﺴﺘﻄﻴﻊ ﻓﺘﺢ ﻣﺘﺠﺮ ﻫﻨﺎ ﻭﺍﻟﺘﺠﺎﺭﺓ؟,ﺗﻈﻦ ﺃﻧﻨﺎ ﻧﺴﺘﻄﻴﻊ ﻓﺘﺢ ﻣﺘﺠﺮ ﻫﻨﺎ ﻭﺍﻟﺘﺠﺎﺭﺓ؟,gamedata/localizationstring_eng.paloc
storm_cliff_0110_npc_00002,storm,Storm,Scene Dialogue,Storm,Storm,0110,Storm 0110,storm_cliff_0110,cliff_0110,storm_cliff_0110_npc,cliff_0110_npc,cliff_0110,cliff,0110,2,npc,,npc,NPC,NPC,NPC,,role,,ﻟﻘﺪ ﻓﻘﺪﺕ ﻋﻘﻠﻚ!<br/>ﺃﻭﻟﺌﻚ ﺍﻟﻘﺮﺍﺻﻨﺔ ﺍﻟﻠﻌﻴﻨﻮﻥ ﻳﻤﻜﻨﻬﻢ ﺃﻥ ﻳﻘﺘﺤﻤﻮﺍ ﻫﻨﺎ ﺩﻭﻥ ﺃﻱ ﺇﻧﺬﺍﺭ.,"ﻟﻘﺪ ﻓﻘﺪﺕ ﻋﻘﻠﻚ!
ﺃﻭﻟﺌﻚ ﺍﻟﻘﺮﺍﺻﻨﺔ ﺍﻟﻠﻌﻴﻨﻮﻥ ﻳﻤﻜﻨﻬﻢ ﺃﻥ ﻳﻘﺘﺤﻤﻮﺍ ﻫﻨﺎ ﺩﻭﻥ ﺃﻱ ﺇﻧﺬﺍﺭ.",gamedata/localizationstring_eng.paloc
storm_cliff_0110_npc_00003,storm,Storm,Scene Dialogue,Storm,Storm,0110,Storm 0110,storm_cliff_0110,cliff_0110,storm_cliff_0110_npc,cliff_0110_npc,cliff_0110,cliff,0110,3,npc,,npc,NPC,NPC,NPC,,role,,ﺣﺴﻨﺎ... ﻟﻮ ﻛﻨﺖ ﻣﻜﺎﻧﻚ ﻟﻤﺎ ﺃﻓﺮﻏﺖ ﺣﻘﺎﺋﺒﻲ.,ﺣﺴﻨﺎ... ﻟﻮ ﻛﻨﺖ ﻣﻜﺎﻧﻚ ﻟﻤﺎ ﺃﻓﺮﻏﺖ ﺣﻘﺎﺋﺒﻲ.,gamedata/localizationstring_eng.paloc
storm_cliff_0110_npc_00004,storm,Storm,Scene Dialogue,Storm,Storm,0110,Storm 0110,storm_cliff_0110,cliff_0110,storm_cliff_0110_npc,cliff_0110_npc,cliff_0110,cliff,0110,4,npc,,npc,NPC,NPC,NPC,,role,,ﻣﻦ ﺍﻷﻓﻀﻞ ﺃﻥ ﺗﻜﻮﻥ ﻣﺴﺘﻌﺪﺍ ﻟﻠﻔﺮﺍﺭ ﻓﻲ ﺃﻱ ﻟﺤﻈﺔ، ﺇﻥ ﺳﺄﻟﺘﻨﻲ.,ﻣﻦ ﺍﻷﻓﻀﻞ ﺃﻥ ﺗﻜﻮﻥ ﻣﺴﺘﻌﺪﺍ ﻟﻠﻔﺮﺍﺭ ﻓﻲ ﺃﻱ ﻟﺤﻈﺔ، ﺇﻥ ﺳﺄﻟﺘﻨﻲ.,gamedata/localizationstring_eng.paloc
storm_cliff_9000_boss_00_00001,storm,Storm,Scene Dialogue,Storm,Storm,9000,Storm 9000,storm_cliff_9000,cliff_9000,storm_cliff_9000_boss_00,cliff_9000_boss_00,cliff_9000,cliff,9000,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻳﺠﻌﻠﻚ ﺟﺪﻳﺮﺍ؟,ﻳﺠﻌﻠﻚ ﺟﺪﻳﺮﺍ؟,gamedata/localizationstring_eng.paloc
storm_cliff_9000_boss_00_00002,storm,Storm,Scene Dialogue,Storm,Storm,9000,Storm 9000,storm_cliff_9000,cliff_9000,storm_cliff_9000_boss_00,cliff_9000_boss_00,cliff_9000,cliff,9000,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﺩﻕ ﻓﻴﻚ ﺑﻌﺾ ﺍﻟﻌﻘﻞ.,ﺳﺄﺩﻕ ﻓﻴﻚ ﺑﻌﺾ ﺍﻟﻌﻘﻞ.,gamedata/localizationstring_eng.paloc
storm_cliff_9000_boss_00_00011,storm,Storm,Scene Dialogue,Storm,Storm,9000,Storm 9000,storm_cliff_9000,cliff_9000,storm_cliff_9000_boss_00,cliff_9000_boss_00,cliff_9000,cliff,9000,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
storm_cliff_9000_boss_00_00012,storm,Storm,Scene Dialogue,Storm,Storm,9000,Storm 9000,storm_cliff_9000,cliff_9000,storm_cliff_9000_boss_00,cliff_9000_boss_00,cliff_9000,cliff,9000,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﺗﻈﻦ ﺃﻥ ﺑﻀﻌﺔ ﺍﻧﺘﺼﺎﺭﺍﺕ ﺳﻬﻠﺔ...,ﺃﺗﻈﻦ ﺃﻥ ﺑﻀﻌﺔ ﺍﻧﺘﺼﺎﺭﺍﺕ ﺳﻬﻠﺔ...,gamedata/localizationstring_eng.paloc
storm_cliff_9000_boss_00_00014,storm,Storm,Scene Dialogue,Storm,Storm,9000,Storm 9000,storm_cliff_9000,cliff_9000,storm_cliff_9000_boss_00,cliff_9000_boss_00,cliff_9000,cliff,9000,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺇﺫﻥ، ﻫﻜﺬﺍ ﻳﻨﺘﻬﻲ ﺍﻷﻣﺮ.,ﺇﺫﻥ، ﻫﻜﺬﺍ ﻳﻨﺘﻬﻲ ﺍﻷﻣﺮ.,gamedata/localizationstring_eng.paloc
