key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
sunsetvillage_0200_npc_00_00000,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺑﺪﺃﺕ ﺃﻋﺸﺎﺏ ﺍﻟﺸﻔﺎﺀ ﺗﻨﻔﺪ ﻟﺪﻳﻨﺎ...,ﺑﺪﺃﺕ ﺃﻋﺸﺎﺏ ﺍﻟﺸﻔﺎﺀ ﺗﻨﻔﺪ ﻟﺪﻳﻨﺎ...,gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00001,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻧﺤﻦ ﺃﻳﻀﺎ ﻧﻌﺎﻧﻲ ﻧﻘﺼﺎ ﻓﻲ ﺍﻷﻳﺪﻱ ﺍﻟﻌﺎﻣﻠﺔ. ﻫﺬﺍ ﺳﻴﺊ...,ﻧﺤﻦ ﺃﻳﻀﺎ ﻧﻌﺎﻧﻲ ﻧﻘﺼﺎ ﻓﻲ ﺍﻷﻳﺪﻱ ﺍﻟﻌﺎﻣﻠﺔ. ﻫﺬﺍ ﺳﻴﺊ...,gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00002,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺬﺍ ﻟﻴﺲ ﻣﻜﺎﻧﺎ ﻳﺰﻭﺭﻩ ﺍﻟﻐﺮﺑﺎﺀ ﻛﺜﻴﺮﺍ...,ﻫﺬﺍ ﻟﻴﺲ ﻣﻜﺎﻧﺎ ﻳﺰﻭﺭﻩ ﺍﻟﻐﺮﺑﺎﺀ ﻛﺜﻴﺮﺍ...,gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00003,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻜﻦ ﻣﺜﻠﻨﺎ، ﻻ ﺑﺪ ﺃﻧﻚ ﺟﺌﺖ ﺑﻨﻮﺍﻳﺎ ﺣﺴﻨﺔ.,ﻟﻜﻦ ﻣﺜﻠﻨﺎ، ﻻ ﺑﺪ ﺃﻧﻚ ﺟﺌﺖ ﺑﻨﻮﺍﻳﺎ ﺣﺴﻨﺔ.,gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00004,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻨﺎﺱ ﻫﻨﺎ ﻓﻲ ﺣﺎﺟﺔ ﻣﺎﺳﺔ ﻟﻠﻤﺴﺎﻋﺪﺓ.,ﺍﻟﻨﺎﺱ ﻫﻨﺎ ﻓﻲ ﺣﺎﺟﺔ ﻣﺎﺳﺔ ﻟﻠﻤﺴﺎﻋﺪﺓ.,gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00005,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺴﺎﻛﻴﻦ، ﺃﺟﺒﺮﻭﺍ ﻋﻠﻰ ﺍﻟﻌﻴﺶ ﺑﻤﻌﺰﻝ ﻋﻦ ﺍﻟﻨﺎﺱ ﺑﺴﺒﺐ ﻣﺮﺿﻬﻢ...,ﻣﺴﺎﻛﻴﻦ، ﺃﺟﺒﺮﻭﺍ ﻋﻠﻰ ﺍﻟﻌﻴﺶ ﺑﻤﻌﺰﻝ ﻋﻦ ﺍﻟﻨﺎﺱ ﺑﺴﺒﺐ ﻣﺮﺿﻬﻢ...,gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00006,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻧﺤﻦ ﻧﻌﺎﻧﻲ ﻧﻘﺼﺎ ﻓﻲ ﺍﻷﻳﺪﻱ ﺍﻟﻌﺎﻣﻠﺔ ﺃﺻﻼ، ﻓﻠﻮ ﺍﺳﺘﻄﻌﻨﺎ ﻃﻠﺐ ﻣﺴﺎﻋﺪﺗﻚ...,ﻧﺤﻦ ﻧﻌﺎﻧﻲ ﻧﻘﺼﺎ ﻓﻲ ﺍﻷﻳﺪﻱ ﺍﻟﻌﺎﻣﻠﺔ ﺃﺻﻼ، ﻓﻠﻮ ﺍﺳﺘﻄﻌﻨﺎ ﻃﻠﺐ ﻣﺴﺎﻋﺪﺗﻚ...,gamedata/localizationstring_eng.paloc
sunsetvillage_0200_npc_00_00007,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0200,Sunsetvillage 0200,sunsetvillage_0200,0200,sunsetvillage_0200_npc_00,0200_npc_00,0200,0200,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻧﺤﺘﺎﺝ ﺑﻌﺾ ﺟﺬﻭﺭ ﺫﻳﻞ ﺍﻟﺤﺮﻳﺮ. ﻳﺠﺐ ﺃﻥ ﺗﺠﺪ ﺑﻌﻀﻬﺎ ﻗﺮﻳﺒﺎ.,ﻧﺤﺘﺎﺝ ﺑﻌﺾ ﺟﺬﻭﺭ ﺫﻳﻞ ﺍﻟﺤﺮﻳﺮ. ﻳﺠﺐ ﺃﻥ ﺗﺠﺪ ﺑﻌﻀﻬﺎ ﻗﺮﻳﺒﺎ.,gamedata/localizationstring_eng.paloc
sunsetvillage_0300_npc_00_00001,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0300,Sunsetvillage 0300,sunsetvillage_0300,0300,sunsetvillage_0300_npc_00,0300_npc_00,0300,0300,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﻮﻣﺎ ﻣﺎ... ﺭﺑﻤﺎ ﻳﺠﺪﻭﻥ ﻋﻼﺟﺎ ﺣﺘﻰ ﻟﻸﻭﺑﺌﺔ...,ﻳﻮﻣﺎ ﻣﺎ... ﺭﺑﻤﺎ ﻳﺠﺪﻭﻥ ﻋﻼﺟﺎ ﺣﺘﻰ ﻟﻸﻭﺑﺌﺔ...,gamedata/localizationstring_eng.paloc
sunsetvillage_0300_npc_00_00002,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0300,Sunsetvillage 0300,sunsetvillage_0300,0300,sunsetvillage_0300_npc_00,0300_npc_00,0300,0300,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻋﺎﻟﻢ ﺑﻼ ﺃﻣﺮﺍﺽ... ﺃﻟﻴﺴﺖ ﺗﻠﻚ ﻫﻲ ﺍﻟﺠﻨﺔ؟,ﻋﺎﻟﻢ ﺑﻼ ﺃﻣﺮﺍﺽ... ﺃﻟﻴﺴﺖ ﺗﻠﻚ ﻫﻲ ﺍﻟﺠﻨﺔ؟,gamedata/localizationstring_eng.paloc
sunsetvillage_0300_npc_00_00003,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0300,Sunsetvillage 0300,sunsetvillage_0300,0300,sunsetvillage_0300_npc_00,0300_npc_00,0300,0300,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺁﻩ، ﺃﺗﻤﻨﻰ ﻣﺎ ﺃﻛﻮﻥ ﺃﺛﻘﻠﺖ ﻋﻠﻴﻚ ﺑﻬﺎﻟﻄﻠﺐ.,ﺁﻩ، ﺃﺗﻤﻨﻰ ﻣﺎ ﺃﻛﻮﻥ ﺃﺛﻘﻠﺖ ﻋﻠﻴﻚ ﺑﻬﺎﻟﻄﻠﺐ.,gamedata/localizationstring_eng.paloc
sunsetvillage_0300_npc_00_00004,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0300,Sunsetvillage 0300,sunsetvillage_0300,0300,sunsetvillage_0300_npc_00,0300_npc_00,0300,0300,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻋﻠﻰ ﻛﻞ ﺣﺎﻝ، ﻟﻘﺪ ﺃﺯﺣﺖ ﻋﻨﺎ ﻋﺒﺌﺎ ﺛﻘﻴﻼ.,ﻋﻠﻰ ﻛﻞ ﺣﺎﻝ، ﻟﻘﺪ ﺃﺯﺣﺖ ﻋﻨﺎ ﻋﺒﺌﺎ ﺛﻘﻴﻼ.,gamedata/localizationstring_eng.paloc
sunsetvillage_0300_npc_00_00005,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0300,Sunsetvillage 0300,sunsetvillage_0300,0300,sunsetvillage_0300_npc_00,0300_npc_00,0300,0300,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻭﻟﺌﻚ ﺍﻟﺬﻳﻦ ﻳﺤﻀﺮﻭﻥ ﺍﻟﺪﻭﺍﺀ، ﻭﺃﻭﻟﺌﻚ ﺍﻟﺬﻳﻦ ﻳﺤﺘﺎﺟﻮﻧﻪ...,ﺃﻭﻟﺌﻚ ﺍﻟﺬﻳﻦ ﻳﺤﻀﺮﻭﻥ ﺍﻟﺪﻭﺍﺀ، ﻭﺃﻭﻟﺌﻚ ﺍﻟﺬﻳﻦ ﻳﺤﺘﺎﺟﻮﻧﻪ...,gamedata/localizationstring_eng.paloc
sunsetvillage_0300_npc_00_00006,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0300,Sunsetvillage 0300,sunsetvillage_0300,0300,sunsetvillage_0300_npc_00,0300_npc_00,0300,0300,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﻨﻌﺎﻧﻲ ﺟﻤﻴﻌﺎ ﺃﻗﻞ ﻭﻧﻨﺎﻡ ﺃﻫﺪﺃ ﺍﻵﻥ.,ﺳﻨﻌﺎﻧﻲ ﺟﻤﻴﻌﺎ ﺃﻗﻞ ﻭﻧﻨﺎﻡ ﺃﻫﺪﺃ ﺍﻵﻥ.,gamedata/localizationstring_eng.paloc
sunsetvillage_0300_npc_00_00007,sunsetvillage,Sunsetvillage,Scene Dialogue,Sunsetvillage,Sunsetvillage,0300,Sunsetvillage 0300,sunsetvillage_0300,0300,sunsetvillage_0300_npc_00,0300_npc_00,0300,0300,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﺬﺍ ﺣﻘﺎ، ﻟﻚ ﺃﻋﻤﻖ ﺷﻜﺮﻱ.,ﻟﺬﺍ ﺣﻘﺎ، ﻟﻚ ﺃﻋﻤﻖ ﺷﻜﺮﻱ.,gamedata/localizationstring_eng.paloc
