key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
thefaceless_bossencounter_ambush_boss_00_00009,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻗﺎﻧﻮﻥ ﺍﻟﺼﺤﺮﺍﺀ ﻳﺘﺰﻋﺰﻉ...,ﻗﺎﻧﻮﻥ ﺍﻟﺼﺤﺮﺍﺀ ﻳﺘﺰﻋﺰﻉ...,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00010,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻻ ﺗﻌﺪ ﺇﻟﻰ ﺍﻟﺼﺤﺮﺍﺀ ﺃﺑﺪﺍ!,ﻻ ﺗﻌﺪ ﺇﻟﻰ ﺍﻟﺼﺤﺮﺍﺀ ﺃﺑﺪﺍ!,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00011,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻫﻨﺎ ﻓﻲ ﺍﻟﺼﺤﺮﺍﺀ، ﻗﺎﻧﻮﻥ ﺍﻟﺮﻣﺎﻝ ﻳﺤﻜﻢ ﺍﻟﺠﻤﻴﻊ!,ﻫﻨﺎ ﻓﻲ ﺍﻟﺼﺤﺮﺍﺀ، ﻗﺎﻧﻮﻥ ﺍﻟﺮﻣﺎﻝ ﻳﺤﻜﻢ ﺍﻟﺠﻤﻴﻊ!,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00012,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻃﻊ ﻗﺎﻧﻮﻥ ﺍﻟﺼﺤﺮﺍﺀ!,ﺃﻃﻊ ﻗﺎﻧﻮﻥ ﺍﻟﺼﺤﺮﺍﺀ!,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00013,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻧﺤﻦ ﺍﻟﻨﺎﺟﻮﻥ ﻣﻦ ﺍﻟﻌﺎﺻﻔﺔ... ﻭﺗﻈﻦ ﺃﻧﻚ ﺗﺴﺘﻄﻴﻊ ﺍﻟﻮﻗﻮﻑ ﺑﻮﺟﻬﻨﺎ؟,ﻧﺤﻦ ﺍﻟﻨﺎﺟﻮﻥ ﻣﻦ ﺍﻟﻌﺎﺻﻔﺔ... ﻭﺗﻈﻦ ﺃﻧﻚ ﺗﺴﺘﻄﻴﻊ ﺍﻟﻮﻗﻮﻑ ﺑﻮﺟﻬﻨﺎ؟,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00014,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻧﺘﺰﻋﻨﺎ ﻫﺬﻩ ﺍﻷﺭﺽ ﺑﻘﻮﺗﻨﺎ. ﻟﻢ ﺍﻟﺘﺪﺧﻞ ﻓﻴﻤﺎ ﻫﻮ ﺣﻘﻨﺎ؟,ﺍﻧﺘﺰﻋﻨﺎ ﻫﺬﻩ ﺍﻷﺭﺽ ﺑﻘﻮﺗﻨﺎ. ﻟﻢ ﺍﻟﺘﺪﺧﻞ ﻓﻴﻤﺎ ﻫﻮ ﺣﻘﻨﺎ؟,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00015,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺇﻥ ﻛﻨﺖ ﺗﻨﻮﻱ ﺍﻟﻘﺘﺎﻝ، ﻓﺎﺳﺘﻌﺪ ﻟﺪﻓﻊ ﺍﻟﺜﻤﻦ!,ﺇﻥ ﻛﻨﺖ ﺗﻨﻮﻱ ﺍﻟﻘﺘﺎﻝ، ﻓﺎﺳﺘﻌﺪ ﻟﺪﻓﻊ ﺍﻟﺜﻤﻦ!,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_boss_00_00016,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻫﻨﺎ ﺃﻧﺎ ﺍﻟﻘﺎﻧﻮﻥ! ﻻ ﺗﻬﺪﺩ ﻧﻈﺎﻣﻲ!,ﻫﻨﺎ ﺃﻧﺎ ﺍﻟﻘﺎﻧﻮﻥ! ﻻ ﺗﻬﺪﺩ ﻧﻈﺎﻣﻲ!,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_globalgametrack_00017,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,17,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺍﻟﺮﻣﺎﻝ ﺳﺘﺒﺘﻠﻌﻚ ﺑﺄﻛﻤﻠﻚ!,ﺍﻟﺮﻣﺎﻝ ﺳﺘﺒﺘﻠﻌﻚ ﺑﺄﻛﻤﻠﻚ!,gamedata/localizationstring_eng.paloc
thefaceless_bossencounter_ambush_globalgametrack_00018,thefaceless,Thefaceless,Scene Dialogue,Thefaceless,Thefaceless,,Thefaceless,thefaceless_bossencounter_ambush,bossencounter_ambush,thefaceless_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,18,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻣﻦ ﻳﺨﺎﻟﻒ ﻗﺎﻧﻮﻥ ﺍﻟﺼﺤﺮﺍﺀ ﻟﻦ ﻳﺠﺪ ﺭﺣﻤﺔ!,ﻣﻦ ﻳﺨﺎﻟﻒ ﻗﺎﻧﻮﻥ ﺍﻟﺼﺤﺮﺍﺀ ﻟﻦ ﻳﺠﺪ ﺭﺣﻤﺔ!,gamedata/localizationstring_eng.paloc
