key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
three_brothers_cliff_1600_narration_00011,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,11,narration,,narration,Narration,Narration,Narration,,role,,ﺑﺎﺣﺚ ﻋﻦ ﺍﻟﻨﻈﺎﻡ...,ﺑﺎﺣﺚ ﻋﻦ ﺍﻟﻨﻈﺎﻡ...,gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00012,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,12,narration,,narration,Narration,Narration,Narration,,role,,ﻋﺒﺮ ﺭﺍﺑﻄﺔ ﺍﻟﻌﻘﻞ ﺃﺗﺤﺪﺙ ﺇﻟﻴﻚ.,ﻋﺒﺮ ﺭﺍﺑﻄﺔ ﺍﻟﻌﻘﻞ ﺃﺗﺤﺪﺙ ﺇﻟﻴﻚ.,gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00013,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,13,narration,,narration,Narration,Narration,Narration,,role,,ﺗﻘﺪﻡ ﺇﻟﻰ ﻣﺬﺑﺤﻲ، ﻗﺒﻞ ﺃﻥ ﻳﻀﻴﻊ ﺻﻮﺗﻲ ﻓﻲ ﺍﻟﺼﻤﺖ.,ﺗﻘﺪﻡ ﺇﻟﻰ ﻣﺬﺑﺤﻲ، ﻗﺒﻞ ﺃﻥ ﻳﻀﻴﻊ ﺻﻮﺗﻲ ﻓﻲ ﺍﻟﺼﻤﺖ.,gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00014,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,14,narration,,narration,Narration,Narration,Narration,,role,,ﻃﻮﻳﻼ ﺍﻧﺘﻈﺮﺕ ﻫﺬﻩ ﺍﻟﻠﺤﻈﺔ ﺍﻟﻤﻘﺪﺭﺓ، ﻣﺘﺨﻔﻴﺔ ﻓﻲ ﻭﻫﻢ ﺍﻟﺼﺪﻓﺔ.,ﻃﻮﻳﻼ ﺍﻧﺘﻈﺮﺕ ﻫﺬﻩ ﺍﻟﻠﺤﻈﺔ ﺍﻟﻤﻘﺪﺭﺓ، ﻣﺘﺨﻔﻴﺔ ﻓﻲ ﻭﻫﻢ ﺍﻟﺼﺪﻓﺔ.,gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00015,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,15,narration,,narration,Narration,Narration,Narration,,role,,ﺍﺳﻤﻲ ﺃﻳﺴﻴﺮﻳﻮﻥ.,ﺍﺳﻤﻲ ﺃﻳﺴﻴﺮﻳﻮﻥ.,gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00016,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,16,narration,,narration,Narration,Narration,Narration,,role,,ﺃﻋﺪﺕ ﺍﻟﺘﻮﺍﺯﻥ ﻟﻠﻌﺎﻟﻢ، ﻣﺤﻮﻻ ﺍﻟﺤﻤﺎﻗﺔ ﺇﻟﻰ ﺣﻜﻤﺔ،,ﺃﻋﺪﺕ ﺍﻟﺘﻮﺍﺯﻥ ﻟﻠﻌﺎﻟﻢ، ﻣﺤﻮﻻ ﺍﻟﺤﻤﺎﻗﺔ ﺇﻟﻰ ﺣﻜﻤﺔ،,gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00017,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,17,narration,,narration,Narration,Narration,Narration,,role,,ﻓﻠﻘﺒﻨﻲ ﺍﻟﻨﺎﺱ ﺑﺈﻟﻪ ﺍﻟﻤﻌﺮﻓﺔ.,ﻓﻠﻘﺒﻨﻲ ﺍﻟﻨﺎﺱ ﺑﺈﻟﻪ ﺍﻟﻤﻌﺮﻓﺔ.,gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00018,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,18,narration,,narration,Narration,Narration,Narration,,role,,ﺍﻵﻥ ﻟﺴﺖ ﺳﻮﻯ ﺳﺠﻴﻦ، ﺣﺒﻴﺲ ﻗﻔﺺ ﻣﻦ ﻟﺤﻢ ﻭﺩﻡ.,ﺍﻵﻥ ﻟﺴﺖ ﺳﻮﻯ ﺳﺠﻴﻦ، ﺣﺒﻴﺲ ﻗﻔﺺ ﻣﻦ ﻟﺤﻢ ﻭﺩﻡ.,gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00019,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,19,narration,,narration,Narration,Narration,Narration,,role,,ﺫﺍﺕ ﻣﺮﺓ، ﺧﺘﻤﺖ ﺍﻟﻘﺪﻣﺎﺀ، ﻛﺎﺋﻨﺎﺕ ﺛﻤﻠﺔ ﺑﺎﻟﻬﺎﻭﻳﺔ ﻭﺗﺸﺘﻬﻲ ﺍﻟﺪﻣﺎﺭ.,ﺫﺍﺕ ﻣﺮﺓ، ﺧﺘﻤﺖ ﺍﻟﻘﺪﻣﺎﺀ، ﻛﺎﺋﻨﺎﺕ ﺛﻤﻠﺔ ﺑﺎﻟﻬﺎﻭﻳﺔ ﻭﺗﺸﺘﻬﻲ ﺍﻟﺪﻣﺎﺭ.,gamedata/localizationstring_eng.paloc
three_brothers_cliff_1600_narration_00020,three,Three,Scene Dialogue,Three,Three,1600,Three 1600,three_brothers_cliff_1600,brothers_cliff_1600,three_brothers_cliff_1600_narration,brothers_cliff_1600_narration,brothers_cliff_1600,brothers,cliff_1600,20,narration,,narration,Narration,Narration,Narration,,role,,ﻟﻜﻨﻬﻢ ﺭﺩﻭﺍ ﺑﺎﻟﻀﺮﺏ، ﻭﻏﺮﺳﻮﺍ ﺛﻼﺛﺔ ﻗﻴﻮﺩ ﻋﻤﻴﻘﺎ ﻓﻲ ﺟﺴﺪﻱ.,ﻟﻜﻨﻬﻢ ﺭﺩﻭﺍ ﺑﺎﻟﻀﺮﺏ، ﻭﻏﺮﺳﻮﺍ ﺛﻼﺛﺔ ﻗﻴﻮﺩ ﻋﻤﻴﻘﺎ ﻓﻲ ﺟﺴﺪﻱ.,gamedata/localizationstring_eng.paloc
