key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
titan_boss_0700_npc_00_00013,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_00,boss_0700_npc_00,boss_0700,boss,0700,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻧﺖ ﻫﻨﺎ.,ﺃﻧﺖ ﻫﻨﺎ.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_00_00014,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_00,boss_0700_npc_00,boss_0700,boss,0700,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_00_00015,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_00,boss_0700_npc_00,boss_0700,boss,0700,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﺿﺮﺏ ﺍﻟﺮﺍﻋﻲ، ﻭﺳﻴﺘﻔﺮﻕ ﺍﻟﻘﻄﻴﻊ.,ﺍﺿﺮﺏ ﺍﻟﺮﺍﻋﻲ، ﻭﺳﻴﺘﻔﺮﻕ ﺍﻟﻘﻄﻴﻊ.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_00_00016,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_00,boss_0700_npc_00,boss_0700,boss,0700,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻞ ﺷﻲﺀ ﺳﻴﻜﻮﻥ ﻋﻠﻰ ﻣﺎ ﻳﺮﺍﻡ.,ﻛﻞ ﺷﻲﺀ ﺳﻴﻜﻮﻥ ﻋﻠﻰ ﻣﺎ ﻳﺮﺍﻡ.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00017,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,17,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺁﺳﻒ... ﺗﺮﺍﺧﻴﺖ.,ﺁﺳﻒ... ﺗﺮﺍﺧﻴﺖ.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00018,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,18,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻟﻜﻦ ﺃﻥ ﻧﻘﻔﺰ ﻣﺒﺎﺷﺮﺓ ﺇﻟﻰ ﻗﺘﺎﻝ ﻣﻌﻬﻢ؟ ﻧﺤﻦ ﺟﻤﻴﻌﺎ ﻣﺮﻫﻘﻮﻥ.,ﻟﻜﻦ ﺃﻥ ﻧﻘﻔﺰ ﻣﺒﺎﺷﺮﺓ ﺇﻟﻰ ﻗﺘﺎﻝ ﻣﻌﻬﻢ؟ ﻧﺤﻦ ﺟﻤﻴﻌﺎ ﻣﺮﻫﻘﻮﻥ.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00019,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,19,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺃﻳﻬﺎ ﺍﻷﺣﻤﻖ. ﻛﻴﻒ ﺃﻓﺴﺪﺕ ﻫﺬﺍ؟,ﺃﻳﻬﺎ ﺍﻷﺣﻤﻖ. ﻛﻴﻒ ﺃﻓﺴﺪﺕ ﻫﺬﺍ؟,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00020,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,20,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻛﺎﻥ ﺍﻟﻮﻏﺪ ﺃﻣﺎﻣﻨﺎ ﻣﺒﺎﺷﺮﺓ ﻭﺗﺮﻛﺘﻪ ﻳﻔﻠﺖ!,ﻛﺎﻥ ﺍﻟﻮﻏﺪ ﺃﻣﺎﻣﻨﺎ ﻣﺒﺎﺷﺮﺓ ﻭﺗﺮﻛﺘﻪ ﻳﻔﻠﺖ!,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00021,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,21,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻟﻨﺘﻌﻘﺒﻪ. ﻻ ﺑﺪ ﺃﻧﻪ ﻟﻢ ﻳﺒﺘﻌﺪ ﻛﺜﻴﺮﺍ.,ﻟﻨﺘﻌﻘﺒﻪ. ﻻ ﺑﺪ ﺃﻧﻪ ﻟﻢ ﻳﺒﺘﻌﺪ ﻛﺜﻴﺮﺍ.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00022,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,22,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻟﻜﻦ ﻻ ﻳﻨﺒﻐﻲ ﺃﻥ ﻳﻜﻮﻥ ﺍﻷﻣﺮ ﻫﻜﺬﺍ ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ.,ﻟﻜﻦ ﻻ ﻳﻨﺒﻐﻲ ﺃﻥ ﻳﻜﻮﻥ ﺍﻷﻣﺮ ﻫﻜﺬﺍ ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00023,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,23,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺗﺴﺎﻫﻠﻨﺎ ﺑﺄﺧﺬ ﻳﺪﻩ. ﺍﻟﻤﺮﺓ ﺍﻟﻘﺎﺩﻣﺔ ﺳﺘﻜﻮﻥ ﺭﺃﺳﻪ.,ﺗﺴﺎﻫﻠﻨﺎ ﺑﺄﺧﺬ ﻳﺪﻩ. ﺍﻟﻤﺮﺓ ﺍﻟﻘﺎﺩﻣﺔ ﺳﺘﻜﻮﻥ ﺭﺃﺳﻪ.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00024,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,24,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺗﺒﺎ، ﻛﺪﻧﺎ ﻧﻤﺴﻚ ﺑﺬﻟﻚ ﺍﻟﻮﻏﺪ...,ﺗﺒﺎ، ﻛﺪﻧﺎ ﻧﻤﺴﻚ ﺑﺬﻟﻚ ﺍﻟﻮﻏﺪ...,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00025,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,25,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,Knowledge:Knowledge_Ludvig:ﻟﻮﺩﻓﻴﻎ,ﺇﺫﻥ {StaticInfo:Knowledge:Knowledge_Ludvig#ﻟﻮﺩﻓﻴﻎ} ﻻ ﻳﺰﺍﻝ ﻳﺘﺴﻠﻞ ﻓﻲ ﺍﻷﺭﺟﺎﺀ، ﻭﻧﺤﻦ ﻧﺘﺮﻛﻪ ﻳﻤﻀﻲ؟,ﺇﺫﻥ {StaticInfo:Knowledge:Knowledge_Ludvig#ﻟﻮﺩﻓﻴﻎ} ﻻ ﻳﺰﺍﻝ ﻳﺘﺴﻠﻞ ﻓﻲ ﺍﻷﺭﺟﺎﺀ، ﻭﻧﺤﻦ ﻧﺘﺮﻛﻪ ﻳﻤﻀﻲ؟,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00026,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,26,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,,,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00027,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,27,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻣﻨﻬﻚ ﺃﻡ ﻻ، ﺍﻟﺸﺮﺍﺏ ﻭﻗﻴﻠﻮﻟﺔ ﺳﻴﺤﻼﻥ ﺍﻟﻤﺸﻜﻠﺔ.,ﻣﻨﻬﻚ ﺃﻡ ﻻ، ﺍﻟﺸﺮﺍﺏ ﻭﻗﻴﻠﻮﻟﺔ ﺳﻴﺤﻼﻥ ﺍﻟﻤﺸﻜﻠﺔ.,gamedata/localizationstring_eng.paloc
titan_boss_0700_npc_01_00028,titan,Titan,Scene Dialogue,Titan,Titan,0700,Titan 0700,titan_boss_0700,boss_0700,titan_boss_0700_npc_01,boss_0700_npc_01,boss_0700,boss,0700,28,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺗﺒﺎ، ﺣﺴﻨﺎ... ﻃﻴﺐ، ﻫﻴﺎ ﻧﻔﺘﻚ ﺑﺒﻌﺾ ﺍﻟﺪﺑﺒﺔ ﺃﻭﻻ.,ﺗﺒﺎ، ﺣﺴﻨﺎ... ﻃﻴﺐ، ﻫﻴﺎ ﻧﻔﺘﻚ ﺑﺒﻌﺾ ﺍﻟﺪﺑﺒﺔ ﺃﻭﻻ.,gamedata/localizationstring_eng.paloc
