key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
trade_hunter_0100_npc_00_00000,trade,Trade,Scene Dialogue,Trade,Trade,0100,Trade 0100,trade_hunter_0100,hunter_0100,trade_hunter_0100_npc_00,hunter_0100_npc_00,hunter_0100,hunter,0100,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﺤﻤﻞ ﻛﻤﻴﺔ ﻛﺒﻴﺮﺓ ﻣﻦ ﺍﻟﺒﻀﺎﺋﻊ ﺍﻟﺘﺠﺎﺭﻳﺔ!,ﺗﺤﻤﻞ ﻛﻤﻴﺔ ﻛﺒﻴﺮﺓ ﻣﻦ ﺍﻟﺒﻀﺎﺋﻊ ﺍﻟﺘﺠﺎﺭﻳﺔ!,gamedata/localizationstring_eng.paloc
trade_hunter_0100_npc_00_00001,trade,Trade,Scene Dialogue,Trade,Trade,0100,Trade 0100,trade_hunter_0100,hunter_0100,trade_hunter_0100_npc_00,hunter_0100_npc_00,hunter_0100,hunter,0100,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﻌﺎﻝ ﺇﻟﻰ ﻫﻨﺎ!,ﺗﻌﺎﻝ ﺇﻟﻰ ﻫﻨﺎ!,gamedata/localizationstring_eng.paloc
trade_hunter_0100_npc_00_00002,trade,Trade,Scene Dialogue,Trade,Trade,0100,Trade 0100,trade_hunter_0100,hunter_0100,trade_hunter_0100_npc_00,hunter_0100_npc_00,hunter_0100,hunter,0100,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻴﻮﻡ ﻫﻮ ﺍﻟﻴﻮﻡ ﺍﻟﺬﻱ ﺃﺻﺒﺢ ﻓﻴﻪ ﻏﻨﻴﺎ!,ﺍﻟﻴﻮﻡ ﻫﻮ ﺍﻟﻴﻮﻡ ﺍﻟﺬﻱ ﺃﺻﺒﺢ ﻓﻴﻪ ﻏﻨﻴﺎ!,gamedata/localizationstring_eng.paloc
trade_hunter_0200_npc_00_00000,trade,Trade,Scene Dialogue,Trade,Trade,0200,Trade 0200,trade_hunter_0200,hunter_0200,trade_hunter_0200_npc_00,hunter_0200_npc_00,hunter_0200,hunter,0200,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻞ ﻫﺬﻩ ﺍﻟﻜﻨﻮﺯ... ﻭﺍﻵﻥ، ﻻﻕ ﺣﺘﻔﻚ!,ﻛﻞ ﻫﺬﻩ ﺍﻟﻜﻨﻮﺯ... ﻭﺍﻵﻥ، ﻻﻕ ﺣﺘﻔﻚ!,gamedata/localizationstring_eng.paloc
trade_hunter_0200_npc_00_00001,trade,Trade,Scene Dialogue,Trade,Trade,0200,Trade 0200,trade_hunter_0200,hunter_0200,trade_hunter_0200_npc_00,hunter_0200_npc_00,hunter_0200,hunter,0200,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻗﻒ ﻣﻜﺎﻧﻚ!,ﻗﻒ ﻣﻜﺎﻧﻚ!,gamedata/localizationstring_eng.paloc
trade_hunter_0200_npc_00_00002,trade,Trade,Scene Dialogue,Trade,Trade,0200,Trade 0200,trade_hunter_0200,hunter_0200,trade_hunter_0200_npc_00,hunter_0200_npc_00,hunter_0200,hunter,0200,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﻘﺒﻞ ﻣﺼﻴﺮﻙ!,ﺗﻘﺒﻞ ﻣﺼﻴﺮﻙ!,gamedata/localizationstring_eng.paloc
trade_hunter_0201_npc_00_00000,trade,Trade,Scene Dialogue,Trade,Trade,0201,Trade 0201,trade_hunter_0201,hunter_0201,trade_hunter_0201_npc_00,hunter_0201_npc_00,hunter_0201,hunter,0201,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﺤﻆ ﺣﻠﻴﻔﻲ ﺍﻟﻴﻮﻡ!,ﺍﻟﺤﻆ ﺣﻠﻴﻔﻲ ﺍﻟﻴﻮﻡ!,gamedata/localizationstring_eng.paloc
trade_hunter_0201_npc_00_00001,trade,Trade,Scene Dialogue,Trade,Trade,0201,Trade 0201,trade_hunter_0201,hunter_0201,trade_hunter_0201_npc_00,hunter_0201_npc_00,hunter_0201,hunter,0201,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻮﻣﺔ ﻫﺎﺋﻠﺔ ﻣﻦ ﺍﻟﺒﻀﺎﺋﻊ ﺍﻟﺘﺠﺎﺭﻳﺔ!,ﻛﻮﻣﺔ ﻫﺎﺋﻠﺔ ﻣﻦ ﺍﻟﺒﻀﺎﺋﻊ ﺍﻟﺘﺠﺎﺭﻳﺔ!,gamedata/localizationstring_eng.paloc
trade_hunter_0201_npc_00_00002,trade,Trade,Scene Dialogue,Trade,Trade,0201,Trade 0201,trade_hunter_0201,hunter_0201,trade_hunter_0201_npc_00,hunter_0201_npc_00,hunter_0201,hunter,0201,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺧﻴﺮﺍ! ﺳﺄﺻﺒﺢ ﺛﺮﻳﺎ ﺃﺧﻴﺮﺍ!,ﺃﺧﻴﺮﺍ! ﺳﺄﺻﺒﺢ ﺛﺮﻳﺎ ﺃﺧﻴﺮﺍ!,gamedata/localizationstring_eng.paloc
trade_hunter_0300_npc_00_00000,trade,Trade,Scene Dialogue,Trade,Trade,0300,Trade 0300,trade_hunter_0300,hunter_0300,trade_hunter_0300_npc_00,hunter_0300_npc_00,hunter_0300,hunter,0300,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻗﺘﻠﻬﻢ ﺃﻭﻻ ﻭﺍﺳﺘﻮﻝ ﻋﻠﻰ ﻏﻨﺎﺋﻤﻬﻢ!,ﺍﻗﺘﻠﻬﻢ ﺃﻭﻻ ﻭﺍﺳﺘﻮﻝ ﻋﻠﻰ ﻏﻨﺎﺋﻤﻬﻢ!,gamedata/localizationstring_eng.paloc
trade_hunter_0300_npc_00_00001,trade,Trade,Scene Dialogue,Trade,Trade,0300,Trade 0300,trade_hunter_0300,hunter_0300,trade_hunter_0300_npc_00,hunter_0300_npc_00,hunter_0300,hunter,0300,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻗﻒ ﻣﻜﺎﻧﻚ!,ﻗﻒ ﻣﻜﺎﻧﻚ!,gamedata/localizationstring_eng.paloc
trade_hunter_0300_npc_00_00002,trade,Trade,Scene Dialogue,Trade,Trade,0300,Trade 0300,trade_hunter_0300,hunter_0300,trade_hunter_0300_npc_00,hunter_0300_npc_00,hunter_0300,hunter,0300,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻴﻮﻡ ﻳﻮﻣﻲ ﺍﻟﻤﺤﻈﻮﻅ!,ﺍﻟﻴﻮﻡ ﻳﻮﻣﻲ ﺍﻟﻤﺤﻈﻮﻅ!,gamedata/localizationstring_eng.paloc
trade_hunter_0400_npc_00_00000,trade,Trade,Scene Dialogue,Trade,Trade,0400,Trade 0400,trade_hunter_0400,hunter_0400,trade_hunter_0400_npc_00,hunter_0400_npc_00,hunter_0400,hunter,0400,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺣﻀﺮﻭﺍ ﺍﻟﺒﻀﺎﺋﻊ ﺇﻟﻰ ﺣﻀﻨﻲ ﻣﺒﺎﺷﺮﺓ.,ﺃﺣﻀﺮﻭﺍ ﺍﻟﺒﻀﺎﺋﻊ ﺇﻟﻰ ﺣﻀﻨﻲ ﻣﺒﺎﺷﺮﺓ.,gamedata/localizationstring_eng.paloc
trade_hunter_0400_npc_00_00001,trade,Trade,Scene Dialogue,Trade,Trade,0400,Trade 0400,trade_hunter_0400,hunter_0400,trade_hunter_0400_npc_00,hunter_0400_npc_00,hunter_0400,hunter,0400,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻗﻒ ﻣﻜﺎﻧﻚ!,ﻗﻒ ﻣﻜﺎﻧﻚ!,gamedata/localizationstring_eng.paloc
trade_hunter_0400_npc_00_00002,trade,Trade,Scene Dialogue,Trade,Trade,0400,Trade 0400,trade_hunter_0400,hunter_0400,trade_hunter_0400_npc_00,hunter_0400_npc_00,hunter_0400,hunter,0400,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺬﺍ ﻳﻮﻡ ﺣﻈﻲ!,ﻫﺬﺍ ﻳﻮﻡ ﺣﻈﻲ!,gamedata/localizationstring_eng.paloc
