key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
vicious_wolf_forest_2100_npc_00_00000,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2100,Vicious 2100,vicious_wolf_forest_2100,wolf_forest_2100,vicious_wolf_forest_2100_npc_00,wolf_forest_2100_npc_00,wolf_forest_2100,wolf,forest_2100,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﺤﻈﺔ... ﻟﺪﻱ ﻃﻠﺐ ﺁﺧﺮ، ﺇﻥ ﻛﻨﺖ ﻣﺴﺘﻌﺪﺍ.,ﻟﺤﻈﺔ... ﻟﺪﻱ ﻃﻠﺐ ﺁﺧﺮ، ﺇﻥ ﻛﻨﺖ ﻣﺴﺘﻌﺪﺍ.,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2100_npc_00_00001,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2100,Vicious 2100,vicious_wolf_forest_2100,wolf_forest_2100,vicious_wolf_forest_2100_npc_00,wolf_forest_2100_npc_00,wolf_forest_2100,wolf,forest_2100,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻤﺎ ﺗﻌﻠﻢ، ﻣﻠﻜﻴﺘﻲ ﺷﺎﺳﻌﺔ ﺟﺪﺍ.,ﻛﻤﺎ ﺗﻌﻠﻢ، ﻣﻠﻜﻴﺘﻲ ﺷﺎﺳﻌﺔ ﺟﺪﺍ.,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2100_npc_00_00002,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2100,Vicious 2100,vicious_wolf_forest_2100,wolf_forest_2100,vicious_wolf_forest_2100_npc_00,wolf_forest_2100_npc_00,wolf_forest_2100,wolf,forest_2100,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻧﺖ ﺗﻌﺮﻑ ﺟﻴﺪﺍ ﻛﻴﻒ ﻳﻌﻴﺚ ﺃﻭﻟﺌﻚ ﻗﻄﺎﻉ ﺍﻟﻄﺮﻕ ﺍﻟﺒﻐﻴﻀﻮﻥ ﻓﺴﺎﺩﺍ...,ﺃﻧﺖ ﺗﻌﺮﻑ ﺟﻴﺪﺍ ﻛﻴﻒ ﻳﻌﻴﺚ ﺃﻭﻟﺌﻚ ﻗﻄﺎﻉ ﺍﻟﻄﺮﻕ ﺍﻟﺒﻐﻴﻀﻮﻥ ﻓﺴﺎﺩﺍ...,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2100_npc_00_00003,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2100,Vicious 2100,vicious_wolf_forest_2100,wolf_forest_2100,vicious_wolf_forest_2100_npc_00,wolf_forest_2100_npc_00,wolf_forest_2100,wolf,forest_2100,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻢ ﻳﺼﻠﻨﺎ ﺃﻱ ﺧﺒﺮ ﻣﻦ ﺍﻟﺤﺼﻦ ﺍﻟﺠﻨﻮﺑﻲ ﻣﻨﺬ ﺃﻳﺎﻡ.,ﻟﻢ ﻳﺼﻠﻨﺎ ﺃﻱ ﺧﺒﺮ ﻣﻦ ﺍﻟﺤﺼﻦ ﺍﻟﺠﻨﻮﺑﻲ ﻣﻨﺬ ﺃﻳﺎﻡ.,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2100_npc_00_00004,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2100,Vicious 2100,vicious_wolf_forest_2100,wolf_forest_2100,vicious_wolf_forest_2100_npc_00,wolf_forest_2100_npc_00,wolf_forest_2100,wolf,forest_2100,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻭﺩ ﻣﻨﻚ ﺃﻥ ﺗﺬﻫﺐ ﻭﺗﺘﺄﻛﺪ ﺃﻥ ﻛﻞ ﺷﻲﺀ ﻋﻠﻰ ﻣﺎ ﻳﺮﺍﻡ ﻫﻨﺎﻙ.,ﺃﻭﺩ ﻣﻨﻚ ﺃﻥ ﺗﺬﻫﺐ ﻭﺗﺘﺄﻛﺪ ﺃﻥ ﻛﻞ ﺷﻲﺀ ﻋﻠﻰ ﻣﺎ ﻳﺮﺍﻡ ﻫﻨﺎﻙ.,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2100_npc_00_00005,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2100,Vicious 2100,vicious_wolf_forest_2100,wolf_forest_2100,vicious_wolf_forest_2100_npc_00,wolf_forest_2100_npc_00,wolf_forest_2100,wolf,forest_2100,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻭﻣﻦ ﺍﻟﺼﻌﺐ ﻣﺮﺍﻗﺒﺔ ﻛﻞ ﺷﻲﺀ ﻣﺆﺧﺮﺍ.,ﻭﻣﻦ ﺍﻟﺼﻌﺐ ﻣﺮﺍﻗﺒﺔ ﻛﻞ ﺷﻲﺀ ﻣﺆﺧﺮﺍ.,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2200_npc_00_00002,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2200,Vicious 2200,vicious_wolf_forest_2200,wolf_forest_2200,vicious_wolf_forest_2200_npc_00,wolf_forest_2200_npc_00,wolf_forest_2200,wolf,forest_2200,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺆﻻﺀ ﺍﻷﻭﻏﺎﺩ ﺗﻤﺎﺩﻭﺍ ﻫﺬﻩ ﺍﻟﻤﺮﺓ.,ﻫﺆﻻﺀ ﺍﻷﻭﻏﺎﺩ ﺗﻤﺎﺩﻭﺍ ﻫﺬﻩ ﺍﻟﻤﺮﺓ.,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2200_npc_00_00004,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2200,Vicious 2200,vicious_wolf_forest_2200,wolf_forest_2200,vicious_wolf_forest_2200_npc_00,wolf_forest_2200_npc_00,wolf_forest_2200,wolf,forest_2200,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﺭﺃﻳﺖ ﺷﻴﺌﺎ ﻏﺮﻳﺒﺎ؟ ﺳﻤﻌﺖ ﺃﻧﻬﻢ ﻳﺼﻨﻌﻮﻥ ﻧﻮﻋﺎ ﻣﻦ... ﺍﻟﺪﻭﺍﺀ؟,ﻫﻞ ﺭﺃﻳﺖ ﺷﻴﺌﺎ ﻏﺮﻳﺒﺎ؟ ﺳﻤﻌﺖ ﺃﻧﻬﻢ ﻳﺼﻨﻌﻮﻥ ﻧﻮﻋﺎ ﻣﻦ... ﺍﻟﺪﻭﺍﺀ؟,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2200_npc_00_00005,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2200,Vicious 2200,vicious_wolf_forest_2200,wolf_forest_2200,vicious_wolf_forest_2200_npc_00,wolf_forest_2200_npc_00,wolf_forest_2200,wolf,forest_2200,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻤﻢ... ﺳﺄﺿﻄﺮ ﺇﻟﻰ ﺍﻟﻨﻈﺮ ﻓﻲ ﺫﻟﻚ.,ﻫﻤﻢ... ﺳﺄﺿﻄﺮ ﺇﻟﻰ ﺍﻟﻨﻈﺮ ﻓﻲ ﺫﻟﻚ.,gamedata/localizationstring_eng.paloc
vicious_wolf_forest_2200_npc_00_00006,vicious,Vicious,Scene Dialogue,Vicious,Vicious,2200,Vicious 2200,vicious_wolf_forest_2200,wolf_forest_2200,vicious_wolf_forest_2200_npc_00,wolf_forest_2200_npc_00,wolf_forest_2200,wolf,forest_2200,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻷﻫﻢ ﺃﻧﻚ ﻋﺪﺕ ﺳﺎﻟﻤﺎ. ﺷﻜﺮﺍ ﻟﻚ ﻋﻠﻰ ﻛﻞ ﻣﺴﺎﻋﺪﺗﻚ.,ﺍﻷﻫﻢ ﺃﻧﻚ ﻋﺪﺕ ﺳﺎﻟﻤﺎ. ﺷﻜﺮﺍ ﻟﻚ ﻋﻠﻰ ﻛﻞ ﻣﺴﺎﻋﺪﺗﻚ.,gamedata/localizationstring_eng.paloc
