key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
walterbliss_9000_boss_00_00002,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺘﻜﻮﻥ ﺧﺴﺎﺭﺓ ﻟﻮ ﺗﻠﻄﺨﺖ ﺑﺒﻘﻊ ﺍﻟﺪﻡ...,ﺳﺘﻜﻮﻥ ﺧﺴﺎﺭﺓ ﻟﻮ ﺗﻠﻄﺨﺖ ﺑﺒﻘﻊ ﺍﻟﺪﻡ...,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00003,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺁﻩ، ﺃﻧﺖ ﺍﻟﺠﺮﺫ ﺍﻟﺬﻱ ﻛﺎﻥ ﻳﺘﺸﻤﻢ ﻓﻲ ﺍﻷﺭﺟﺎﺀ!,ﺁﻩ، ﺃﻧﺖ ﺍﻟﺠﺮﺫ ﺍﻟﺬﻱ ﻛﺎﻥ ﻳﺘﺸﻤﻢ ﻓﻲ ﺍﻷﺭﺟﺎﺀ!,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00004,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﺒﺎ ﻟﺪﻣﻪ...,ﺗﺒﺎ ﻟﺪﻣﻪ...,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00005,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﺒﺎ ﻟﻠﻘﺒﻪ، ﺗﺒﺎ ﻹﻗﻄﺎﻋﻴﺘﻪ...,ﺗﺒﺎ ﻟﻠﻘﺒﻪ، ﺗﺒﺎ ﻹﻗﻄﺎﻋﻴﺘﻪ...,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00006,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﺒﺎ ﻟﻜﻞ ﺷﻲﺀ.,ﺗﺒﺎ ﻟﻜﻞ ﺷﻲﺀ.,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00007,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻧﺖ ﺣﻘﺎ ﺗﻌﺮﻑ ﻛﻴﻒ ﺗﺴﺘﻔﺰﻧﻲ.,ﺃﻧﺖ ﺣﻘﺎ ﺗﻌﺮﻑ ﻛﻴﻒ ﺗﺴﺘﻔﺰﻧﻲ.,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00008,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺣﻴﻦ ﺑﺪﺃ ﺍﻟﺤﻆ ﻳﺒﺘﺴﻢ ﻟﻲ، ﺟﺌﺖ ﻭﺃﻓﺴﺪﺕ ﻛﻞ ﺷﻲﺀ!,ﺣﻴﻦ ﺑﺪﺃ ﺍﻟﺤﻆ ﻳﺒﺘﺴﻢ ﻟﻲ، ﺟﺌﺖ ﻭﺃﻓﺴﺪﺕ ﻛﻞ ﺷﻲﺀ!,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00009,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻦ ﺃﻗﺒﻞ ﺍﻹﻫﺎﻧﺔ ﻣﻦ ﺃﻣﺜﺎﻟﻚ.,ﻟﻦ ﺃﻗﺒﻞ ﺍﻹﻫﺎﻧﺔ ﻣﻦ ﺃﻣﺜﺎﻟﻚ.,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00010,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﺗﻈﻦ ﻧﻔﺴﻚ ﻣﻦ ﺍﻟﻨﺒﻼﺀ؟,ﺃﺗﻈﻦ ﻧﻔﺴﻚ ﻣﻦ ﺍﻟﻨﺒﻼﺀ؟,gamedata/localizationstring_eng.paloc
walterbliss_9000_boss_00_00011,walterbliss,Walterbliss,Scene Dialogue,Walterbliss,Walterbliss,9000,Walterbliss 9000,walterbliss_9000,9000,walterbliss_9000_boss_00,9000_boss_00,9000,9000,,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻃﺎﻟﻤﺎ ﺳﺨﺮﻭﺍ ﻣﻦ ﺩﻣﻲ ﺍﻟﻮﺿﻴﻊ ﺍﻟﻤﻠﻮﺙ.,ﻃﺎﻟﻤﺎ ﺳﺨﺮﻭﺍ ﻣﻦ ﺩﻣﻲ ﺍﻟﻮﺿﻴﻊ ﺍﻟﻤﻠﻮﺙ.,gamedata/localizationstring_eng.paloc
