key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
whitebear_bossencounter_ambush_boss_00_00033,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,33,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻭﺍﺟﻬﻨﻲ، ﺇﻥ ﻛﺎﻧﺖ ﻟﺪﻳﻚ ﺍﻟﺸﺠﺎﻋﺔ!,ﻭﺍﺟﻬﻨﻲ، ﺇﻥ ﻛﺎﻧﺖ ﻟﺪﻳﻚ ﺍﻟﺸﺠﺎﻋﺔ!,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00034,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,34,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﻬﺮﺏ ﻣﺠﺪﺩﺍ ﻳﺎ ﻏﺮﺍﻳﻤﺎﻧﺰ؟,ﺗﻬﺮﺏ ﻣﺠﺪﺩﺍ ﻳﺎ ﻏﺮﺍﻳﻤﺎﻧﺰ؟,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00035,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,35,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺘﻠﻬﻒ ﻟﻠﻤﻮﺕ ﻫﻜﺬﺍ؟,ﻣﺘﻠﻬﻒ ﻟﻠﻤﻮﺕ ﻫﻜﺬﺍ؟,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00036,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,36,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﺎﻥ ﻋﻠﻴﻚ ﺃﻥ ﺗﺒﻘﻲ ﺭﺃﺳﻚ ﻣﻨﺨﻔﻀﺎ!,ﻛﺎﻥ ﻋﻠﻴﻚ ﺃﻥ ﺗﺒﻘﻲ ﺭﺃﺳﻚ ﻣﻨﺨﻔﻀﺎ!,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00037,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,37,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻢ ﺃﻓﻬﻢ ﺃﻣﺜﺎﻟﻚ ﻗﻂ!,ﻟﻢ ﺃﻓﻬﻢ ﺃﻣﺜﺎﻟﻚ ﻗﻂ!,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00038,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,38,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻳﻬﺎ ﺍﻟﺠﺮﺍﺀ ﺍﻟﺤﻤﻘﻰ ﺍﻟﺬﻳﻦ ﻻ ﻳﻌﺮﻓﻮﻥ ﺣﺘﻰ ﻣﻘﺎﻣﻬﻢ!,ﺃﻳﻬﺎ ﺍﻟﺠﺮﺍﺀ ﺍﻟﺤﻤﻘﻰ ﺍﻟﺬﻳﻦ ﻻ ﻳﻌﺮﻓﻮﻥ ﺣﺘﻰ ﻣﻘﺎﻣﻬﻢ!,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00039,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,39,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻻ ﺫﺋﺐ ﻳﻘﺪﺭ ﻋﻠﻰ ﻫﺰﻳﻤﺔ ﺩﺏ، ﻳﺎ ﺃﺣﻤﻖ!,ﻻ ﺫﺋﺐ ﻳﻘﺪﺭ ﻋﻠﻰ ﻫﺰﻳﻤﺔ ﺩﺏ، ﻳﺎ ﺃﺣﻤﻖ!,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_ambush_boss_00_00040,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_ambush,bossencounter_ambush,whitebear_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,40,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺣﺴﻨﺎ ﺇﺫﻥ، ﻣﺖ!,ﺣﺴﻨﺎ ﺇﺫﻥ، ﻣﺖ!,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_stand_boss_00_00021,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_stand,bossencounter_stand,whitebear_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,21,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺮﺕ ﺑﻘﺪﻣﻴﻚ ﺇﻟﻰ ﻣﺨﺎﻟﺒﻲ...,ﺳﺮﺕ ﺑﻘﺪﻣﻴﻚ ﺇﻟﻰ ﻣﺨﺎﻟﺒﻲ...,gamedata/localizationstring_eng.paloc
whitebear_bossencounter_stand_boss_00_00022,whitebear,Whitebear,Scene Dialogue,Whitebear,Whitebear,,Whitebear,whitebear_bossencounter_stand,bossencounter_stand,whitebear_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,22,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻭﺍﺟﻬﻨﻲ، ﺇﻥ ﻛﺎﻧﺖ ﻟﺪﻳﻚ ﺍﻟﺸﺠﺎﻋﺔ!,ﻭﺍﺟﻬﻨﻲ، ﺇﻥ ﻛﺎﻧﺖ ﻟﺪﻳﻚ ﺍﻟﺸﺠﺎﻋﺔ!,gamedata/localizationstring_eng.paloc
