key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
whitehorn_boss_9000_globalgametrack_00032,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_globalgametrack,boss_9000_globalgametrack,boss_9000,boss,9000,32,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺃﻳﻬﺎ ﺍﻟﻤﺠﻨﻮﻥ... ﻣﺎ ﺍﻟﺬﻱ ﺃﺻﺎﺑﻚ؟,ﺃﻳﻬﺎ ﺍﻟﻤﺠﻨﻮﻥ... ﻣﺎ ﺍﻟﺬﻱ ﺃﺻﺎﺑﻚ؟,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_globalgametrack_00033,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_globalgametrack,boss_9000_globalgametrack,boss_9000,boss,9000,33,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻟﻦ ﺗﻔﻌﻞ ﺳﻮﻯ ﺇﻏﻀﺎﺏ ﺍﻟﺮﻭﺡ!,ﻟﻦ ﺗﻔﻌﻞ ﺳﻮﻯ ﺇﻏﻀﺎﺏ ﺍﻟﺮﻭﺡ!,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_globalgametrack_00034,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_globalgametrack,boss_9000_globalgametrack,boss_9000,boss,9000,34,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺳﺘﻘﺘﻠﻨﺎ ﺟﻤﻴﻌﺎ...!,ﺳﺘﻘﺘﻠﻨﺎ ﺟﻤﻴﻌﺎ...!,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_globalgametrack_00035,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_globalgametrack,boss_9000_globalgametrack,boss_9000,boss,9000,35,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻟﺪﻳﻚ ﺭﻏﺒﺔ ﻓﻲ ﺍﻟﻤﻮﺕ ﺃﻡ ﻣﺎﺫﺍ؟!,ﻟﺪﻳﻚ ﺭﻏﺒﺔ ﻓﻲ ﺍﻟﻤﻮﺕ ﺃﻡ ﻣﺎﺫﺍ؟!,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_globalgametrack_00036,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_globalgametrack,boss_9000_globalgametrack,boss_9000,boss,9000,36,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻣﺖ ﻭﺃﺭﺣﻨﺎ!,ﻣﺖ ﻭﺃﺭﺣﻨﺎ!,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00009,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻴﻒ ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ ﺃﻓﻠﺘﻚ ﻣﻨﻚ؟,ﻛﻴﻒ ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ ﺃﻓﻠﺘﻚ ﻣﻨﻚ؟,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00010,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﻋﻴﻨﺎﻙ ﻟﻠﺰﻳﻨﺔ ﻓﻘﻂ؟,ﻫﻞ ﻋﻴﻨﺎﻙ ﻟﻠﺰﻳﻨﺔ ﻓﻘﻂ؟,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00011,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﺮﻛﺖ ﻃﻔﻼ ﻳﻔﻠﺖ ﻣﻨﻚ؟,ﺗﺮﻛﺖ ﻃﻔﻼ ﻳﻔﻠﺖ ﻣﻨﻚ؟,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00012,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺭﺑﻤﺎ ﻋﻠﻴﻨﺎ ﺗﻘﺪﻳﻤﻚ ﺃﻧﺖ ﺑﺪﻻ ﻣﻨﻪ.,ﺭﺑﻤﺎ ﻋﻠﻴﻨﺎ ﺗﻘﺪﻳﻤﻚ ﺃﻧﺖ ﺑﺪﻻ ﻣﻨﻪ.,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00013,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎ ﻫﺬﺍ ﺍﻵﻥ؟,ﻣﺎ ﻫﺬﺍ ﺍﻵﻥ؟,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00014,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻦ ﺃﻧﺖ ﻟﺘﺘﺪﺧﻞ؟,ﻣﻦ ﺃﻧﺖ ﻟﺘﺘﺪﺧﻞ؟,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00015,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00016,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﺒﺪﻭ ﺃﻥ ﻫﺬﺍ ﺍﻟﻤﺠﻨﻮﻥ ﻳﻄﺎﺭﺩ ﺃﻃﻔﺎﻝ ﺍﻟﺮﻭﺡ! ﺃﻣﺴﻜﻮﻩ!,ﻳﺒﺪﻭ ﺃﻥ ﻫﺬﺍ ﺍﻟﻤﺠﻨﻮﻥ ﻳﻄﺎﺭﺩ ﺃﻃﻔﺎﻝ ﺍﻟﺮﻭﺡ! ﺃﻣﺴﻜﻮﻩ!,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00017,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻗﺘﻠﻪ ﺳﺮﻳﻌﺎ! ﻗﺒﻞ ﺃﻥ ﻧﺴﺘﺠﻠﺐ ﻏﻀﺒﻪ!,ﺍﻗﺘﻠﻪ ﺳﺮﻳﻌﺎ! ﻗﺒﻞ ﺃﻥ ﻧﺴﺘﺠﻠﺐ ﻏﻀﺒﻪ!,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00018,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎ ﺍﻟﺬﻱ ﺗﻨﺘﻈﺮﻩ؟ ﺍﻗﺘﻠﻪ ﺍﻵﻥ!,ﻣﺎ ﺍﻟﺬﻱ ﺗﻨﺘﻈﺮﻩ؟ ﺍﻗﺘﻠﻪ ﺍﻵﻥ!,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00019,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00020,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,20,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﻟﺪﻳﻚ ﺃﻱ ﻓﻜﺮﺓ ﻣﺎ ﺗﻔﻌﻠﻪ؟,ﻫﻞ ﻟﺪﻳﻚ ﺃﻱ ﻓﻜﺮﺓ ﻣﺎ ﺗﻔﻌﻠﻪ؟,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00021,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﺮﻭﺡ... ﺳﺘﻌﺎﻗﺒﻨﺎ ﺟﻤﻴﻌﺎ!,ﺍﻟﺮﻭﺡ... ﺳﺘﻌﺎﻗﺒﻨﺎ ﺟﻤﻴﻌﺎ!,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00022,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
whitehorn_boss_9000_npc_00_00023,whitehorn,Whitehorn,Scene Dialogue,Whitehorn,Whitehorn,9000,Whitehorn 9000,whitehorn_boss_9000,boss_9000,whitehorn_boss_9000_npc_00,boss_9000_npc_00,boss_9000,boss,9000,23,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻩ-ﻫﻨﺎﻙ، ﺇﻧﻪ ﻫﻨﺎ!,ﻩ-ﻫﻨﺎﻙ، ﺇﻧﻪ ﻫﻨﺎ!,gamedata/localizationstring_eng.paloc
