key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
wolf_rider_3800_npc_00_00002,wolf,Wolf,Scene Dialogue,Wolf,Wolf,3800,Wolf 3800,wolf_rider_3800,rider_3800,wolf_rider_3800_npc_00,rider_3800_npc_00,rider_3800,rider,3800,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻴﺎ... ﺃﺭﺟﻮﻙ... ﺃﺭﺟﻮﻙ ﺳﺎﻋﺪﻧﻲ...,ﻫﻴﺎ... ﺃﺭﺟﻮﻙ... ﺃﺭﺟﻮﻙ ﺳﺎﻋﺪﻧﻲ...,gamedata/localizationstring_eng.paloc
wolf_rider_3800_npc_00_00003,wolf,Wolf,Scene Dialogue,Wolf,Wolf,3800,Wolf 3800,wolf_rider_3800,rider_3800,wolf_rider_3800_npc_00,rider_3800_npc_00,rider_3800,rider,3800,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
wolf_rider_3800_npc_00_00004,wolf,Wolf,Scene Dialogue,Wolf,Wolf,3800,Wolf 3800,wolf_rider_3800,rider_3800,wolf_rider_3800_npc_00,rider_3800_npc_00,rider_3800,rider,3800,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻢ ﻳﻌﺪ... ﻟﻢ ﻳﻌﺪ ﻟﺪﻱ ﻭﻗﺖ ﻛﺜﻴﺮ...,ﻟﻢ ﻳﻌﺪ... ﻟﻢ ﻳﻌﺪ ﻟﺪﻱ ﻭﻗﺖ ﻛﺜﻴﺮ...,gamedata/localizationstring_eng.paloc
wolf_rider_3800_npc_00_00005,wolf,Wolf,Scene Dialogue,Wolf,Wolf,3800,Wolf 3800,wolf_rider_3800,rider_3800,wolf_rider_3800_npc_00,rider_3800_npc_00,rider_3800,rider,3800,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﺎﻧﻮﺍ... ﻛﺎﻧﻮﺍ ﻣﻐﻴﺮﻱ ﻧﺎﺏ ﺍﻟﺮﻣﻞ...,ﻛﺎﻧﻮﺍ... ﻛﺎﻧﻮﺍ ﻣﻐﻴﺮﻱ ﻧﺎﺏ ﺍﻟﺮﻣﻞ...,gamedata/localizationstring_eng.paloc
wolf_rider_3800_npc_00_00006,wolf,Wolf,Scene Dialogue,Wolf,Wolf,3800,Wolf 3800,wolf_rider_3800,rider_3800,wolf_rider_3800_npc_00,rider_3800_npc_00,rider_3800,rider,3800,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
wolf_rider_3800_npc_00_00007,wolf,Wolf,Scene Dialogue,Wolf,Wolf,3800,Wolf 3800,wolf_rider_3800,rider_3800,wolf_rider_3800_npc_00,rider_3800_npc_00,rider_3800,rider,3800,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎ ﻛﺎﻥ ﻳﺠﺐ ﺃﻥ ﺁﺗﻲ ﻣﻦ ﻫﺬﺍ ﺍﻟﻄﺮﻳﻖ ﺃﺻﻼ...,ﻣﺎ ﻛﺎﻥ ﻳﺠﺐ ﺃﻥ ﺁﺗﻲ ﻣﻦ ﻫﺬﺍ ﺍﻟﻄﺮﻳﻖ ﺃﺻﻼ...,gamedata/localizationstring_eng.paloc
wolf_rider_3800_npc_00_00008,wolf,Wolf,Scene Dialogue,Wolf,Wolf,3800,Wolf 3800,wolf_rider_3800,rider_3800,wolf_rider_3800_npc_00,rider_3800_npc_00,rider_3800,rider,3800,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻧﺤﻦ ﻏﺎﺭﻗﻮﻥ ﻓﻲ ﻫﺬﻩ ﺍﻟﻔﻮﺿﻰ ﺍﻟﺘﻲ ﺧﻠﻔﺘﻬﺎ ﺍﻟﺤﺮﺏ.,ﻧﺤﻦ ﻏﺎﺭﻗﻮﻥ ﻓﻲ ﻫﺬﻩ ﺍﻟﻔﻮﺿﻰ ﺍﻟﺘﻲ ﺧﻠﻔﺘﻬﺎ ﺍﻟﺤﺮﺏ.,gamedata/localizationstring_eng.paloc
wolf_rider_3800_npc_00_00009,wolf,Wolf,Scene Dialogue,Wolf,Wolf,3800,Wolf 3800,wolf_rider_3800,rider_3800,wolf_rider_3800_npc_00,rider_3800_npc_00,rider_3800,rider,3800,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
wolf_rider_3800_npc_00_00010,wolf,Wolf,Scene Dialogue,Wolf,Wolf,3800,Wolf 3800,wolf_rider_3800,rider_3800,wolf_rider_3800_npc_00,rider_3800_npc_00,rider_3800,rider,3800,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻓﻘﺪﺕ ﺩﻣﺎ ﻛﺜﻴﺮﺍ...,ﻓﻘﺪﺕ ﺩﻣﺎ ﻛﺜﻴﺮﺍ...,gamedata/localizationstring_eng.paloc
wolf_rider_3800_npc_00_00011,wolf,Wolf,Scene Dialogue,Wolf,Wolf,3800,Wolf 3800,wolf_rider_3800,rider_3800,wolf_rider_3800_npc_00,rider_3800_npc_00,rider_3800,rider,3800,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻦ ﻓﻀﻠﻚ، ﺃﺧﺒﺮ ﺍﻟﺠﻤﻴﻊ ﻓﻲ ﻣﺮﻛﺰ ﺍﻟﺘﺠﺎﺭﺓ...,ﻣﻦ ﻓﻀﻠﻚ، ﺃﺧﺒﺮ ﺍﻟﺠﻤﻴﻊ ﻓﻲ ﻣﺮﻛﺰ ﺍﻟﺘﺠﺎﺭﺓ...,gamedata/localizationstring_eng.paloc
