key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
wolfmolar_mountain_0400_npc_00_00001,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺩﻋﻮ ﷲ ﺃﻥ ﻳﻌﻮﺩ ﻗﺮﻳﺒﺎ...,ﺃﺩﻋﻮ ﷲ ﺃﻥ ﻳﻌﻮﺩ ﻗﺮﻳﺒﺎ...,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00002,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﺎﻥ ﻳﺠﺐ ﺃﻥ ﺃﺧﺒﺮﻩ ﺃﻻ ﻳﺬﻫﺐ...,ﻛﺎﻥ ﻳﺠﺐ ﺃﻥ ﺃﺧﺒﺮﻩ ﺃﻻ ﻳﺬﻫﺐ...,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00003,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺗﻤﻨﻰ ﺃﻥ ﻳﻜﻮﻥ ﺑﺨﻴﺮ ﻭﺳﻼﻣﺔ...,ﺃﺗﻤﻨﻰ ﺃﻥ ﻳﻜﻮﻥ ﺑﺨﻴﺮ ﻭﺳﻼﻣﺔ...,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00004,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺯﻭﺟﻲ ﻳﺨﺪﻡ ﻓﻲ ﺣﺮﺱ ﻫﺮﻧﺎﻧﺪ.,ﺯﻭﺟﻲ ﻳﺨﺪﻡ ﻓﻲ ﺣﺮﺱ ﻫﺮﻧﺎﻧﺪ.,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00005,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺭﺳﻞ ﺇﻟﻰ ﺍﻟﺒﻮﺍﺑﺔ ﺍﻟﺸﻤﺎﻟﻴﺔ ﻗﺒﻞ ﺑﻀﻌﺔ ﺃﻳﺎﻡ.,ﺃﺭﺳﻞ ﺇﻟﻰ ﺍﻟﺒﻮﺍﺑﺔ ﺍﻟﺸﻤﺎﻟﻴﺔ ﻗﺒﻞ ﺑﻀﻌﺔ ﺃﻳﺎﻡ.,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00006,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻜﻨﻨﻲ ﻟﻢ ﺃﺗﻠﻖ ﻣﻨﻪ ﺃﻱ ﺧﺒﺮ ﻣﻨﺬ ﺫﻟﻚ ﺍﻟﺤﻴﻦ.,ﻟﻜﻨﻨﻲ ﻟﻢ ﺃﺗﻠﻖ ﻣﻨﻪ ﺃﻱ ﺧﺒﺮ ﻣﻨﺬ ﺫﻟﻚ ﺍﻟﺤﻴﻦ.,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00007,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﻤﻌﺖ ﺃﻥ ﻣﻦ ﻳﺮﺳﻠﻮﻥ ﺇﻟﻰ ﻫﻨﺎﻙ ﻣﺆﺧﺮﺍ ﻧﺎﺩﺭﺍ ﻣﺎ ﻳﻌﻮﺩﻭﻥ.,ﺳﻤﻌﺖ ﺃﻥ ﻣﻦ ﻳﺮﺳﻠﻮﻥ ﺇﻟﻰ ﻫﻨﺎﻙ ﻣﺆﺧﺮﺍ ﻧﺎﺩﺭﺍ ﻣﺎ ﻳﻌﻮﺩﻭﻥ.,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00008,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻗﻀﻲ ﻛﻞ ﻟﻴﻠﺔ ﺃﺗﻘﻠﺐ ﻣﻦ ﺍﻟﻘﻠﻖ.,ﺃﻗﻀﻲ ﻛﻞ ﻟﻴﻠﺔ ﺃﺗﻘﻠﺐ ﻣﻦ ﺍﻟﻘﻠﻖ.,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0400_npc_00_00009,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0400,Wolfmolar 0400,wolfmolar_mountain_0400,mountain_0400,wolfmolar_mountain_0400_npc_00,mountain_0400_npc_00,mountain_0400,mountain,0400,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺇﻥ ﻛﻨﺖ ﻣﺘﺠﻬﺎ ﺷﻤﺎﻻ، ﻫﻞ ﺗﺴﺘﻄﻴﻊ ﺇﻳﺠﺎﺩﻩ ﻭﺇﻋﻄﺎﺀﻩ ﻫﺬﻩ ﺍﻟﺮﺳﺎﻟﺔ؟,ﺇﻥ ﻛﻨﺖ ﻣﺘﺠﻬﺎ ﺷﻤﺎﻻ، ﻫﻞ ﺗﺴﺘﻄﻴﻊ ﺇﻳﺠﺎﺩﻩ ﻭﺇﻋﻄﺎﺀﻩ ﻫﺬﻩ ﺍﻟﺮﺳﺎﻟﺔ؟,gamedata/localizationstring_eng.paloc
wolfmolar_mountain_0440_npc_00_00001,wolfmolar,Wolfmolar,Scene Dialogue,Wolfmolar,Wolfmolar,0440,Wolfmolar 0440,wolfmolar_mountain_0440,mountain_0440,wolfmolar_mountain_0440_npc_00,mountain_0440_npc_00,mountain_0440,mountain,0440,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻭﻍ...,ﺃﻭﻍ...,gamedata/localizationstring_eng.paloc
